,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
0,True,[3.61641362e+02 7.24945507e+02 5.20281858e-04],[237.43742466 707.32040405 -27.89671853],[167.39428818 632.54585266 -31.90279216],[122.2700429  556.27824783 -29.20842938],[ 81.59793198 504.15367126 -25.03578253],[242.73587108 505.8581543  -13.31283063],[198.77360702 403.74475479 -15.236926  ],[176.08984351 345.26679039 -18.90377194],[162.33913958 298.03264618 -22.32585356],[309.00966167 488.49786758  -3.74904877],[286.30735874 377.02274323   1.42244878],[274.15659785 308.79833221  -2.88480305],[268.71516287 257.45716095  -8.2188998 ],[365.99606752 496.42192841   2.39113494],[352.94707775 393.33978653  -3.35999561],[347.63073564 329.28357124 -20.57007551],[343.29569578 278.61516953 -33.7997362 ],[413.00455928 518.69659424   7.20731255],[435.4318285  447.20397949  -3.74078438],[451.19175911 403.76157761 -15.15518535],[466.07402802 364.79473114 -23.19713227]
1,True,[3.60649631e+02 7.25063438e+02 5.10555085e-04],[236.98161542 707.28710175 -27.54208155],[167.30002999 632.65611649 -31.44212276],[121.76180184 555.68572998 -28.8505657 ],[ 80.11725605 504.24293518 -24.79505561],[241.32746994 505.87234497 -11.53332811],[198.45053494 404.11560059 -13.08532532],[176.4164722  345.6698513  -16.64527282],[163.14706922 298.60788345 -19.9507226 ],[307.4846971  488.65139008  -1.9648577 ],[285.29782891 376.80493355   3.95991767],[2.73508136e+02 3.09061718e+02 8.06394065e-02],[268.20824146 257.81350136  -4.95625958],[364.66290236 496.54661179   4.09781749],[352.15895891 393.10089111  -0.9731856 ],[347.23973393 329.53820229 -17.70193577],[343.01522255 279.37414169 -30.62921628],[412.03661442 518.37478638   8.82520963],[434.32808876 446.62708282  -1.36207016],[450.1065588  403.23526382 -12.30535168],[464.97466564 364.05172348 -20.08974418]
2,True,[3.58648242e+02 7.26846085e+02 5.02123015e-04],[235.20694792 707.61257172 -30.73403567],[165.04024744 634.00354385 -37.21933141],[120.97094715 556.34376526 -37.05417842],[ 80.82741916 503.39309692 -35.48574194],[242.52997398 509.34534073 -18.04192185],[200.00029922 406.15674019 -21.94025718],[176.64850473 346.4515686  -27.02751584],[161.59329772 298.00106049 -31.69543862],[308.63192081 491.72086716  -9.05366845],[286.17030859 379.30498123  -8.06869995],[272.04760909 308.95483017 -15.93171805],[264.89232302 255.14719963 -23.63613009],[364.94121909 499.54175949  -3.46542654],[355.00228286 395.60274124 -12.78608233],[350.56881666 330.22181511 -32.06569612],[347.49751568 278.67814064 -46.23822838],[412.19065905 519.74224091   0.6319995 ],[435.30256748 447.56807327 -12.05954835],[451.3988471  402.1673584  -24.60627973],[467.04091072 361.13156319 -33.39011461]
3,True,[3.61553138e+02 7.29713173e+02 4.46018001e-04],[236.53856814 707.99629211 -30.20493574],[165.35886168 632.32561111 -38.28563422],[118.72382998 553.7976265  -39.75640073],[ 76.68459713 500.65973282 -39.89959851],[242.73599982 506.44254684 -20.60318336],[198.49215209 403.07207108 -24.49222483],[173.49384069 343.32447052 -28.18229936],[156.92591608 297.63310432 -31.42228581],[308.97306561 491.36781693 -11.26341205],[285.85124373 375.75553894 -10.00350539],[270.61675787 306.38806343 -14.97136015],[262.84899473 254.94801521 -19.99746144],[364.64474916 500.62013626  -5.24119416],[352.16533184 393.30413818 -15.18103011],[347.05672145 327.48567581 -33.43387417],[343.74118924 276.07624054 -46.40648738],[ 4.11017783e+02  5.21788616e+02 -4.46134958e-01],[432.83830404 448.38463783 -13.96146018],[449.35677409 401.62570953 -26.7764128 ],[465.59412718 359.35718536 -35.45969501]
4,True,[3.59857875e+02 7.28837128e+02 4.74432991e-04],[234.30014133 709.1295433  -23.44568051],[165.14672041 634.36031342 -24.99194652],[119.93000329 556.70906067 -20.44783719],[ 80.7798475  501.10044479 -14.4290366 ],[241.38989568 506.56179428  -5.69247616],[195.79281449 401.81911469  -4.75249534],[172.49415994 342.00739861  -6.81836022],[158.81293058 294.32275772  -8.98939602],[307.33403206 490.060215     3.96354619],[283.35035205 375.23949623  12.53578998],[270.01763821 306.31773949   9.9070213 ],[263.85657728 255.25131226   5.69579389],[363.9950645  498.56357574  10.37532493],[350.39179087 392.68721581   8.32589982],[344.66967344 326.81705475  -7.9571053 ],[340.35999656 275.31191826 -20.87595396],[411.12663746 521.15272522  15.85118942],[433.07217121 447.42636681   8.16636689],[448.89834166 402.09071159  -2.4092137 ],[464.28046703 360.97177505 -10.130109  ]
5,True,[3.60487443e+02 7.26999779e+02 4.66139358e-04],[236.26337349 708.73901367 -27.55559787],[165.53360224 635.53556442 -32.22693443],[119.04781938 557.57062912 -30.3700465 ],[ 79.54011977 500.92020035 -26.96202837],[241.64302647 505.70302963 -12.90111188],[196.41040921 401.62413597 -15.11224251],[172.88617551 342.14841843 -18.92614961],[158.51543069 294.40086365 -22.31891334],[306.96192384 488.99431229  -3.40906871],[282.94155121 375.4086113    1.35318405],[268.96723151 306.58950806  -3.11862873],[262.35177755 255.59586525  -8.45315773],[363.39069843 496.95493698   2.60790051],[350.08244634 391.58846855  -3.2605222 ],[344.81786013 326.20290756 -20.79619579],[340.81652999 275.01800537 -34.19587165],[410.08820415 518.83695602   7.40002122],[432.308321   446.00069046  -3.86015005],[448.4113276  401.38824463 -15.86918671],[463.9716053  361.50137901 -24.2576234 ]
6,True,[3.62383647e+02 7.28838673e+02 4.74058537e-04],[236.60751164 709.69070435 -26.1484661 ],[165.1250267  634.16290283 -28.05752836],[118.11790287 556.31916046 -23.66529912],[ 78.49149942 499.91775513 -17.3635409 ],[240.51572621 503.2154274   -3.73114452],[194.73342776 400.05523682  -2.05341473],[171.80762172 341.43917084  -4.27497581],[157.74292231 294.3598938   -6.92421058],[306.03170156 486.44416809   6.62078988],[281.63461804 373.47696304  15.64595215],[268.98087859 306.1558342   12.9492468 ],[262.87941098 255.68967819   8.64197083],[362.60988593 495.17057419  13.04768823],[349.13706422 389.65979576  10.90307303],[344.04309869 325.47431946  -5.13229262],[339.76760387 274.31676865 -17.9425621 ],[410.26632428 518.57053757  18.11173439],[431.9335413  445.19408226  10.37719376],[ 4.47337457e+02  4.01208429e+02 -3.59732320e-02],[462.09294319 360.46205521  -7.82454517]
7,True,[3.60033098e+02 7.28036785e+02 4.75486858e-04],[236.24040842 708.9371109  -27.91308738],[165.09337127 633.7994957  -32.85828888],[119.13893938 555.11581421 -31.65549316],[ 75.62598288 501.43867493 -29.06706624],[239.28930759 506.55412674 -12.00624146],[196.12523675 402.31103897 -13.85126363],[173.42695713 342.82751083 -17.71845952],[158.79995942 294.81679916 -21.58326656],[305.31355619 489.40979004  -3.68159062],[ 2.80214421e+02  3.76361275e+02 -3.30965220e-01],[267.04936624 306.89208984  -6.95584841],[260.86344123 254.30010796 -13.82550638],[362.14874983 497.6027298    1.21024251],[349.90822077 393.14200401  -6.52555805],[346.42551184 326.91269875 -25.79916604],[343.75596285 275.11951447 -40.21497399],[409.5861268  518.52298737   4.96194603],[430.88896036 446.19346619  -6.85980739],[447.82189608 401.12983704 -19.12853032],[464.2459631  361.14804268 -27.86248617]
8,True,[3.56965402e+02 7.26416759e+02 5.16520622e-04],[233.61302376 705.34349442 -30.33781171],[163.40937316 633.06810379 -37.15060517],[118.69536102 555.94739914 -37.43037432],[ 77.91420221 502.23609924 -36.22494936],[239.43821847 507.57825851 -16.85376998],[196.82184935 403.87681961 -20.42701654],[173.21479976 344.36925888 -25.3448052 ],[158.10473084 296.11644745 -29.83391382],[305.78467011 490.2000618   -7.93127663],[283.05729389 376.9575119   -7.1100243 ],[268.83404374 306.32148743 -15.34156736],[261.65025651 252.13482857 -23.16725716],[362.16773987 498.2292366   -2.36160859],[351.92039251 394.14813995 -11.86335247],[347.78790236 328.17592621 -31.57765612],[344.80701327 275.96975327 -45.9288758 ],[409.52432871 518.25359344   1.86733673],[432.12624192 445.24346352 -10.81589084],[448.51815462 399.75574493 -23.34337972],[464.7431159  358.48388672 -32.01653123]
9,True,[3.57958388e+02 7.25264854e+02 4.84335986e-04],[233.38641465 706.02069855 -26.58231407],[162.97648072 630.66850662 -30.34771107],[118.02871406 553.2390976  -28.11985955],[ 75.95871091 502.23752975 -24.64994878],[237.86209345 504.45350647 -11.54826667],[195.60114384 401.63417816 -14.49056916],[173.14046502 342.42030144 -18.96993734],[158.81278574 294.5967865  -22.9189463 ],[304.31046367 487.20588684  -3.82179807],[281.07180476 375.35161972  -0.58561874],[267.43459046 306.13740921  -6.69030419],[260.64560294 253.66859436 -13.08814265],[361.51808739 494.96995926   0.52392286],[349.0796113  391.99132919  -7.07434606],[344.13241625 326.78212166 -25.20743519],[340.26906967 275.60445786 -38.67311552],[409.44836855 516.08190536   3.71240241],[430.69397449 443.2996273   -7.75001027],[446.50707722 398.74477386 -18.83290529],[461.64439201 358.91999245 -26.52517498]
