,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_0,39.8,13.1,7.6,5.6,3.1,5.0,3.6,6.3,4.7,9.1,12.1,0.4,10.8,6.1,3.1
angles for frame_1,39.7,13.0,8.6,6.0,3.3,4.9,3.7,6.3,4.6,8.8,12.2,0.5,10.6,6.2,2.9
angles for frame_2,38.4,14.5,7.7,6.1,2.7,4.1,2.7,6.7,4.2,8.2,11.4,1.1,10.2,5.4,3.5
angles for frame_3,37.5,13.0,7.7,5.5,1.4,2.8,3.4,4.7,4.1,8.4,10.4,1.5,10.4,5.3,3.9
angles for frame_4,39.3,13.1,5.4,4.9,3.2,5.3,3.3,6.4,4.8,9.1,12.9,0.3,10.3,7.2,2.7
angles for frame_5,38.5,13.7,4.4,5.1,3.0,4.8,3.2,6.0,4.7,8.8,12.1,0.4,11.0,6.4,3.4
angles for frame_6,39.1,12.9,4.7,4.8,3.9,4.8,3.1,6.9,4.6,8.5,13.1,0.2,11.2,7.4,2.5
angles for frame_7,38.7,13.6,8.8,6.4,3.0,4.0,2.6,7.2,4.5,8.5,12.5,0.7,10.7,6.8,3.3
angles for frame_8,37.0,14.5,7.2,6.2,2.7,4.3,2.4,6.9,4.1,8.3,11.6,1.3,10.4,5.7,3.8
angles for frame_9,39.1,13.4,9.5,6.3,3.0,4.1,2.7,6.6,4.2,8.9,11.6,0.8,9.9,5.6,3.2
angles for frame_10,38.6,14.5,8.3,6.6,2.5,4.1,3.9,5.9,4.4,8.9,11.3,0.5,9.8,5.4,3.4
angles for frame_11,37.6,15.4,8.1,6.8,2.2,4.2,3.2,6.0,4.4,8.2,11.3,0.9,9.5,5.6,3.8
angles for frame_12,37.3,14.4,7.1,5.4,1.5,3.5,3.9,4.8,4.9,8.6,11.3,1.3,11.1,6.1,4.0
angles for frame_13,36.5,15.7,7.0,6.0,0.9,2.6,4.2,4.0,4.3,8.2,10.6,0.9,9.6,5.9,3.7
angles for frame_14,35.8,14.2,5.7,5.4,2.2,3.3,3.5,4.2,4.4,6.1,9.5,1.5,10.5,4.5,3.9
angles for frame_15,35.9,16.3,3.2,6.7,1.4,1.8,4.6,4.0,3.3,7.9,10.2,1.2,10.1,5.6,4.3
angles for frame_16,37.2,15.1,2.4,7.4,2.3,3.3,3.9,4.9,4.3,6.7,10.5,1.1,9.6,6.9,3.8
angles for frame_17,36.5,16.2,1.6,9.6,0.2,1.1,5.2,5.0,1.5,7.9,10.9,3.0,9.6,6.1,3.9
angles for frame_18,37.6,17.0,1.7,9.2,1.1,0.3,3.7,7.3,3.0,7.9,10.8,4.8,7.9,3.8,3.7
angles for frame_19,38.4,15.9,5.3,13.1,2.4,5.2,6.0,7.8,6.7,8.3,13.4,7.7,8.2,8.2,2.6
angles for frame_20,39.4,18.4,4.7,12.9,9.1,10.2,5.9,12.5,20.4,7.0,15.4,17.1,9.2,4.5,5.2
angles for frame_21,37.7,19.4,7.2,13.9,18.0,33.4,5.9,17.7,32.3,7.9,19.4,29.2,7.3,3.7,7.8
angles for frame_22,36.7,23.0,12.1,14.7,35.5,68.5,7.9,23.6,40.8,11.5,25.2,37.6,5.8,4.9,10.6
angles for frame_23,35.9,24.5,14.6,14.7,43.8,70.9,10.4,31.8,44.1,15.0,33.6,38.8,5.7,13.1,14.1
angles for frame_24,36.2,24.4,14.6,17.2,60.6,56.9,11.2,49.6,54.6,14.5,42.2,41.4,6.9,19.2,16.5
angles for frame_25,35.9,26.5,20.3,16.9,71.3,54.9,12.4,59.9,52.1,16.3,52.9,40.5,9.0,32.5,29.2
angles for frame_26,36.0,27.7,21.8,18.8,69.8,53.8,12.0,66.1,53.5,18.5,59.1,44.8,11.3,45.3,41.1
angles for frame_27,37.1,28.2,23.9,20.9,76.3,46.8,13.3,81.5,48.8,20.7,76.5,45.4,12.8,56.0,42.6
