,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
max_angles,[38.3],"[45.3, 46.5]","[57.5, 59.1]","[31.8, 41.6]","[124.8, 110.1]","[39.6, 39.2]","[47.6, 62.0]","[110.7, 100.9]","[43.7, 43.0]","[66.1, 77.6]","[100.1, 95.4]","[47.2, 44.7]","[75.9, 84.1]","[92.0, 87.6]","[44.5, 41.7]"
min_angles,[30.5],"[18.0, 12.8, 15.1]","[10.1, 2.9, 2.2]","[10.0, 6.3, 5.9]","[21.3, 2.1, 2.2]","[18.2, 5.0, 4.3]","[5.9, 6.8, 6.6]","[22.6, 4.1, 4.1]","[17.1, 4.4, 5.2]","[10.6, 5.4, 6.1]","[25.5, 11.6, 11.6]","[13.5, 1.5, 3.2]","[10.1, 15.3, 18.0]","[15.3, 7.1, 6.7]","[11.3, 5.2, 6.3]"
max_times,[155],"[63, 162]","[63, 163]","[72, 164]","[65, 157]","[51, 146]","[66, 162]","[58, 150]","[61, 159]","[66, 162]","[57, 150]","[63, 164]","[66, 162]","[59, 150]","[56, 147]"
min_times,[111],"[29, 113, 210]","[29, 110, 210]","[29, 114, 210]","[29, 108, 210]","[29, 114, 210]","[29, 115, 210]","[29, 109, 210]","[29, 108, 210]","[29, 112, 210]","[29, 109, 210]","[29, 110, 210]","[29, 121, 200]","[29, 108, 210]","[29, 109, 210]"
