,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
0,True,[2.80175507e+02 3.30351105e+02 6.55962913e-04],[193.1127727  376.62732124 -46.54352143],[128.72783124 453.77386093 -66.11524791],[ 83.38191748 525.5979538  -81.77888453],[ 38.77296209 573.9298439  -96.47579938],[227.35092938 585.28123856 -31.22486785],[206.60506725 680.16563416 -56.00118086],[200.36619544 740.2432251  -78.04310918],[199.32373881 790.38917542 -95.45452952],[291.32414103 592.03622818 -28.66683505],[307.66980171 699.83242035 -50.47526032],[316.1808157  765.93154907 -71.29876435],[326.32162571 818.83403778 -86.17819279],[344.31510687 572.84683228 -32.16530733],[382.85565019 668.27957153 -58.87466758],[404.10267234 727.07954407 -81.62278801],[421.90889239 780.08955002 -96.51451975],[387.24199533 531.70578003 -39.8381786 ],[431.76533461 589.52911377 -68.70632619],[461.0427618  626.06718063 -83.89855921],[485.84401131 663.9248085  -92.26925611]
1,True,[2.73340155e+02 3.32060566e+02 7.00381433e-04],[186.58557415 384.01954651 -39.52889442],[124.28998768 460.81260681 -55.83060443],[ 80.69942951 528.6504364  -70.07550806],[ 39.26662266 574.15763855 -83.67751837],[221.13576293 588.58617783 -25.80740981],[203.35221827 682.69695282 -47.93510109],[199.96854722 740.75271606 -67.97427624],[202.59771824 790.73072433 -84.00604606],[285.0869751  593.76743317 -26.42716706],[300.10787129 703.09392929 -46.18037313],[310.14368892 769.57723618 -66.38665661],[323.80570292 821.74020767 -81.47656471],[338.84855032 573.59727859 -32.43207917],[376.76667094 665.60760498 -55.58030605],[400.85656643 724.69322205 -77.79911935],[422.42284656 776.05110168 -93.19781274],[383.62786889 533.29908371 -42.24257514],[429.1476059  591.35953903 -66.38610139],[460.20121336 629.16160583 -80.60273319],[486.45677805 666.6553688  -89.26227987]
2,True,[2.73668296e+02 3.34026833e+02 6.98907807e-04],[187.14027643 385.76339722 -40.02867848],[124.44539219 461.05447769 -56.2494716 ],[ 80.5357933  528.74845505 -70.34787834],[ 39.45694149 574.88044739 -83.67697924],[221.53109372 588.72825623 -24.10682358],[203.24000001 682.06987381 -45.56771904],[199.46973681 739.81304169 -65.43822482],[201.41578138 789.81096268 -81.48273647],[285.42181134 594.47576523 -24.08040449],[300.80194116 703.25580597 -42.96041876],[310.40568709 769.18991089 -62.74844259],[322.87914991 821.31620407 -77.79875726],[338.99522424 574.79673386 -29.66478579],[376.0849607  665.91470718 -52.04298466],[399.62739587 724.46365356 -73.93519342],[420.43442845 775.92000961 -89.40481782],[383.78651619 535.32320023 -39.17853624],[428.45282793 592.63223648 -62.63973668],[458.70215893 630.07621765 -76.58617079],[484.19480681 667.64328003 -85.31235158]
3,True,[2.74600192e+02 3.32276115e+02 7.05830121e-04],[188.99586082 385.01661301 -40.74230164],[126.28065079 460.41755676 -57.47679546],[ 81.72085226 527.90822983 -72.00043827],[ 40.08712113 574.37095642 -85.62117308],[221.77960575 587.93329239 -23.61284316],[203.92560482 681.17420197 -44.87640917],[200.45388758 738.76716614 -64.95623991],[202.29656518 788.74168396 -81.19449019],[285.66127896 594.16477203 -23.16494778],[300.61413288 702.07237244 -41.58831596],[309.88230228 767.6723671  -61.35676637],[321.75558329 819.56256866 -76.40529871],[339.40631032 574.56705093 -28.48267794],[375.71484804 665.3886795  -50.44249848],[399.11585569 723.69455338 -72.26586431],[419.69909549 775.12996674 -87.69286573],[384.19695854 534.98479843 -37.82165363],[427.89114118 592.87519455 -61.0620667 ],[457.9519558  630.43247223 -74.94933397],[483.49246502 668.34783554 -83.57989669]
4,True,[2.75365845e+02 3.32927771e+02 7.06789169e-04],[190.1560235  384.58331108 -40.96794114],[127.81680018 459.7939682  -57.28953034],[ 83.10540318 527.57469177 -71.36156827],[ 41.5841639  574.06064987 -84.41917598],[223.40425193 587.73942947 -22.42503226],[205.44350445 680.82550049 -42.73389414],[201.39695227 737.92259216 -62.19005093],[202.68648863 787.50400543 -78.02938163],[286.74293876 593.41821671 -21.46505959],[301.30417943 700.56598663 -39.1358529 ],[310.7563591  765.9299469  -58.60878691],[322.95021772 817.6493454  -73.56252998],[340.21448135 573.73907089 -26.36473931],[376.02712154 664.35064316 -47.69502997],[399.16288018 722.5932312  -69.41698819],[419.58721519 774.05164719 -84.87531513],[385.03332496 534.65600967 -35.36404878],[428.49167705 592.29543686 -58.15301389],[458.37050915 629.9446106  -72.13897705],[483.50723863 668.03655624 -80.96022069]
5,True,[2.75658292e+02 3.32193375e+02 7.02976856e-04],[190.88213503 384.64865685 -39.71355647],[128.60430747 460.0462532  -55.77356189],[ 84.01985407 527.09180832 -69.73068595],[ 42.66025543 573.01397324 -82.78396457],[223.42441678 587.07859039 -22.36105956],[205.57958901 679.63972092 -42.96984538],[201.76476359 736.64388657 -62.5940761 ],[203.28453004 786.12596512 -78.49648029],[286.79981232 593.03226471 -22.1326118 ],[301.71063066 700.44050217 -39.93650436],[311.13818765 765.74466705 -59.37349007],[323.37221503 817.39929199 -74.20914084],[340.13601065 573.41171265 -27.57559575],[376.53187037 663.48077774 -48.93256098],[399.97546077 721.27733231 -70.43551415],[420.8236599  772.2561264  -85.67543954],[384.71265078 533.92410278 -36.96996644],[428.46325636 591.34506226 -59.55373049],[458.35351467 628.54454041 -73.07405144],[483.79173517 666.1980629  -81.51186526]
6,True,[2.76169478e+02 3.31351461e+02 7.04565284e-04],[191.34877503 384.19956207 -40.24069503],[129.11376357 459.39720154 -56.50320992],[ 84.70045388 526.61699295 -70.59391201],[ 43.00659835 572.90565491 -83.74731481],[224.16148782 586.19001389 -22.36476302],[206.03375673 679.18149948 -42.85188988],[202.36719847 736.40888214 -62.36674279],[204.02779698 785.91510773 -78.19774926],[287.37218499 592.02238083 -21.84652403],[301.85949326 699.28247452 -39.59294558],[311.13731861 764.65719223 -58.98220271],[323.06937218 815.98880768 -73.80598068],[340.65186381 572.3208046  -27.11221866],[376.64993048 662.80225754 -48.52030411],[399.91440296 721.01818085 -70.1853928 ],[420.35759926 772.11530685 -85.56376845],[385.25122762 532.90632248 -36.37072206],[428.85570645 590.62997818 -59.18844178],[458.74892592 628.13827515 -72.99458295],[483.97133589 665.95573425 -81.63962156]
7,True,[2.76893063e+02 3.30512524e+02 7.03065136e-04],[192.05081105 382.43659973 -40.62528759],[130.06477833 458.16884995 -56.85748681],[ 85.90767324 525.91993332 -70.80558658],[ 43.87759745 571.74093246 -83.77471358],[225.20408928 585.18035889 -22.86212906],[207.2347641  678.11033249 -43.216732  ],[203.34729373 735.23889542 -62.58802906],[204.74948287 784.66924667 -78.3658433 ],[288.27881455 591.16687775 -22.08437428],[302.71993518 698.27802658 -39.72958133],[311.98118448 763.44812393 -58.95449817],[323.99354339 814.77058411 -73.68321329],[341.49885178 571.64056778 -27.08762415],[377.36134887 662.08082199 -48.38932917],[400.5589056  720.00526428 -69.98394549],[421.13483906 771.00688934 -85.33227503],[386.06750965 532.35883713 -36.12426996],[429.72648025 590.01285553 -58.86648417],[459.53926563 627.39458084 -72.73937613],[484.80702639 665.22062302 -81.47171259]
8,True,[2.77387254e+02 3.30656490e+02 7.03407206e-04],[192.87344992 382.45279312 -40.88955492],[131.15644813 457.700243   -57.59173349],[ 86.866799   525.14705658 -71.95860386],[ 44.97316182 571.20500565 -85.38425624],[225.97448945 584.52409744 -24.27931108],[208.15130711 677.24189758 -45.3088671 ],[204.15342093 734.35112    -65.02593979],[205.44633687 783.94168854 -80.98098099],[289.24408793 590.42610168 -23.56354952],[304.01518464 697.59595871 -41.83762059],[313.45819116 762.72829056 -61.28433466],[325.62536716 814.32065964 -76.14566624],[342.49093652 570.86465836 -28.5614524 ],[378.51748824 661.01400375 -50.31729698],[401.89908743 718.63918304 -71.87050939],[422.61657715 769.41633224 -87.14296728],[386.92579508 531.64175034 -37.59229258],[430.79938531 589.07341003 -60.5550769 ],[460.79460382 626.29892349 -74.37461168],[486.24943256 663.93831253 -83.04097384]
9,True,[2.78347152e+02 3.29274845e+02 7.11248420e-04],[193.98563862 381.96610451 -40.38052931],[131.60956979 457.20439911 -56.9828935 ],[ 86.79790378 524.35689926 -71.36206716],[ 45.28271556 570.2363205  -84.79311079],[226.45485699 584.36376572 -23.23368005],[208.60069513 676.83202744 -44.27049816],[204.84765172 733.94931793 -64.26920682],[206.49180293 783.58840942 -80.41626871],[289.68349814 590.22211075 -22.85777181],[304.60081816 697.51493454 -41.10113695],[314.12075043 763.10411453 -60.84990531],[326.55578256 815.26233673 -75.87443858],[342.81074166 570.51017761 -28.18963185],[379.35510993 660.52007675 -49.97386694],[402.80813098 718.240242   -71.66528016],[423.80979538 769.14030075 -86.9374162 ],[387.03770757 531.08739853 -37.51621172],[430.93550205 588.56809616 -60.39480016],[460.93329549 625.77455521 -74.03728902],[486.61957741 663.45457077 -82.50178546]
10,True,[2.78638988e+02 3.29919720e+02 7.07759759e-04],[193.30479741 381.75341606 -41.11012504],[131.14221364 457.10660934 -57.74875134],[ 86.95643842 524.76968765 -72.05815673],[ 45.60055733 571.04352951 -85.40673852],[227.21218944 584.3793869  -24.05625455],[209.60472107 677.19348907 -45.19145876],[205.7093972  734.16675568 -65.08455947],[207.07236707 783.6154747  -81.10285521],[290.50534844 590.242939   -23.16809401],[305.37725329 697.59315491 -41.50278836],[314.73766923 762.95213699 -61.08320922],[326.8825078  814.5554924  -76.00126147],[343.79439354 570.63737869 -28.025195  ],[380.02037287 661.12672806 -49.85934332],[403.55585575 718.94731522 -71.41414493],[424.47364211 769.55846786 -86.61003113],[388.35622787 531.20246887 -36.94338039],[432.34752417 588.59361649 -60.00877127],[462.46321678 626.11707687 -73.85213614],[488.11238766 663.79760742 -82.44763166]
11,True,[2.79123105e+02 3.30162735e+02 7.10081993e-04],[193.1626296  381.86579704 -41.54070809],[130.85025787 457.17882156 -58.39700371],[ 87.12102413 525.18550873 -72.80866563],[ 46.20093226 571.965065   -86.22148365],[227.16362   584.6062088 -24.607016 ],[209.50009882 677.14622498 -46.06078818],[205.70445657 734.2342186  -66.09451175],[207.29818761 783.77792358 -82.19291568],[290.66000462 590.56428909 -23.60343665],[305.77733159 698.13194275 -42.39962921],[315.12101054 763.86022568 -62.18178704],[327.29301453 816.14994049 -77.12705702],[343.88564229 570.9056282  -28.35838772],[380.60990095 661.2348175  -50.68775564],[404.28983688 718.97626877 -72.27852166],[425.34451246 769.71084595 -87.34241903],[388.18699121 531.44428253 -37.18057886],[432.30021    588.79737854 -60.49461454],[462.34760284 626.23003006 -74.30483133],[487.98254728 663.91067505 -82.80725151]
12,True,[2.78656690e+02 3.30605621e+02 7.02177731e-04],[192.42655635 382.12778091 -41.02064654],[130.34183174 457.8045845  -57.49815524],[ 87.12107241 525.9305191  -71.59974039],[ 46.10265076 572.48353958 -84.72652495],[227.40260482 585.16662598 -24.27517913],[209.90160942 677.8222847  -45.47783822],[206.12170637 734.82221603 -65.23215473],[207.67409384 784.19002533 -81.12628698],[290.80159307 590.95521927 -23.46983649],[305.94219089 698.74225616 -42.05442488],[315.26279211 764.34682846 -61.59879282],[327.49398708 816.30077362 -76.36677146],[343.90569448 571.29547119 -28.36498998],[380.74881792 661.78321838 -50.53392828],[404.36257839 719.59842682 -72.06897944],[425.34676552 770.28064728 -87.10348248],[388.08705211 531.82828903 -37.27727115],[432.67672777 589.15718079 -60.54219425],[462.96365261 626.60505295 -74.38367218],[488.72805119 664.15529251 -82.90229827]
13,True,[2.78247503e+02 3.32371073e+02 7.08629791e-04],[192.44115293 384.30104256 -41.55949295],[130.07518262 459.47095871 -59.14700568],[ 86.3102138  527.18399048 -74.30209547],[ 44.26644266 572.92367935 -88.65184665],[226.6759783  585.77430725 -27.12738857],[209.53671098 678.9547348  -49.67051312],[206.38912797 736.61298752 -70.0229314 ],[208.57108355 786.36915207 -86.24073118],[290.13929129 591.26512527 -26.6612374 ],[305.47271848 699.50414658 -46.79694191],[314.91875052 766.0074234  -67.04612195],[327.29101896 818.86676788 -82.19461352],[343.45067382 571.49511337 -31.79761469],[380.57597637 663.05711746 -55.26684567],[404.11467791 721.62631989 -77.27806807],[424.89814997 772.99495697 -92.51365632],[387.88923383 532.161026   -40.90478718],[432.7594471  590.14205933 -65.0869453 ],[463.03426981 627.87969589 -79.19322163],[488.71411443 665.57281494 -87.83018142]
14,True,[2.76687520e+02 3.32847176e+02 7.27076281e-04],[194.650805   387.09480286 -44.35480267],[131.99978292 463.84978294 -64.57845479],[ 84.84123766 533.55314255 -81.94231957],[ 39.83109355 582.9778862  -98.44598383],[228.79191935 585.05029678 -31.61391623],[215.24888277 680.30553818 -56.20412484],[213.0766958  738.82461548 -78.0492568 ],[215.05257726 790.12653351 -95.07833362],[291.70024037 589.87913132 -30.3446614 ],[307.30699539 697.90065765 -51.79141894],[316.915344   765.88434219 -73.35662484],[329.00884509 821.43527985 -89.64023799],[344.72966909 569.83663559 -34.78100628],[379.98091221 662.42895126 -58.49535361],[402.55862117 722.26146698 -80.77991992],[422.09052086 775.40342331 -96.50156468],[389.05345201 530.84083557 -43.48127291],[432.37514019 589.25268173 -67.59886086],[462.20807433 627.81269073 -81.79462373],[487.31532097 666.64123535 -90.66520929]
15,True,[2.74178742e+02 3.37475910e+02 6.69929525e-04],[198.82938623 393.72098923 -45.30698419],[138.61763477 474.94709015 -65.44932917],[ 92.37976849 549.31715012 -82.51364619],[ 50.43352246 605.5629158  -98.53815794],[231.12418592 586.98738098 -29.41399053],[227.70903647 677.77908325 -53.59930292],[231.00952148 731.72355652 -75.80987245],[236.21770084 780.87553024 -92.92727709],[293.00730228 588.38012695 -27.51790144],[309.35753345 690.88834763 -47.67825678],[319.98941302 755.72834015 -68.90826434],[331.81386709 812.04151154 -85.57945132],[345.61025977 566.95323944 -31.86575554],[377.80771136 653.63021851 -53.8779898 ],[398.92457128 709.96524811 -74.16502923],[416.37889624 761.86746597 -89.09836203],[391.47024035 528.93259048 -40.9246704 ],[430.34281969 584.93202209 -62.65286878],[457.68252254 621.00551605 -74.79734927],[481.21005535 658.82646561 -82.94037491]
16,True,[2.79828472e+02 3.40408287e+02 5.37285723e-04],[207.35557616 402.60080338 -43.44705462],[152.49378562 490.80694199 -57.92053878],[120.39408445 572.07578659 -69.06621158],[ 92.71964192 636.21912003 -78.45531374],[238.64084601 587.9274559  -13.71106524],[239.83958423 669.58385468 -30.41179039],[247.73118496 713.86940002 -48.84403601],[256.35018468 754.77373123 -62.93569967],[298.67611885 586.03500366  -7.87713138],[313.61989617 673.50465775 -17.84285635],[325.10240078 725.81943512 -33.92356172],[336.4152503  774.51358795 -47.61340097],[350.16326666 564.54305649  -9.03276533],[373.97980213 638.03707123 -21.09763853],[389.53550935 682.00824738 -34.86371353],[402.11447954 725.32287598 -46.42243981],[395.87737799 528.67527008 -15.40839862],[425.23012161 574.82048035 -27.41649382],[446.27401471 601.68691635 -33.74355666],[465.00575781 630.58828354 -38.44546437]
17,True,[2.83896042e+02 3.41020660e+02 4.32408807e-04],[214.54351544 403.68398666 -43.86407509],[170.89054763 500.11785507 -51.79050967],[158.24705958 589.02334213 -56.93511263],[141.24572754 655.24051666 -59.32544366],[243.62227142 589.49111938  11.65272195],[2.47835340e+02 6.60537472e+02 5.57014933e-01],[257.14906991 692.09032059 -18.13852362],[266.52393758 717.57705688 -32.77691133],[299.0452981  587.51644135  21.52337953],[314.03712988 659.41228867  15.9932667 ],[325.38293839 700.62990189  -3.29350758],[333.45692396 730.41692734 -20.27715817],[347.87866831 566.86935425  22.51635544],[369.23863292 627.75163651  11.18644103],[380.01657486 658.61503601  -6.78701308],[385.37942648 679.31064606 -20.87395035],[394.26653981 532.9942131   18.26392025],[420.3610754  575.14961243   5.52819572],[435.83947062 596.35923386  -4.65676261],[446.24070168 612.45735168 -12.02470645]
18,True,[2.88333853e+02 3.48666172e+02 3.48984478e-04],[218.8038826  410.66511154 -45.65252647],[176.84173644 507.42124557 -55.89793459],[179.93819118 597.26446152 -64.16057333],[186.43642187 666.93569183 -70.48755169],[242.10664093 587.70046234   2.74304235],[255.16440153 662.15709686 -25.29400684],[264.69162405 691.77022934 -57.00397566],[268.07104647 688.01713943 -76.1275211 ],[297.2925818  586.90286636  10.91449723],[315.67973614 671.97429657 -13.34810905],[326.33388877 702.94567108 -51.18749544],[325.89364171 690.98178864 -78.39086026],[346.31936073 567.80508041  10.51050425],[372.85024881 645.57220459 -18.27079207],[380.9051156  663.23352814 -56.39395282],[373.55143189 635.38295746 -80.6616506 ],[396.27449512 532.99312592   6.26854979],[427.35494614 592.17979431 -23.49785082],[436.39542818 611.62336349 -50.430336  ],[431.87624931 602.5576973  -67.57930756]
19,True,[2.83293575e+02 3.56130695e+02 4.28569820e-05],[218.55656147 412.59206772 -42.59389088],[184.39479947 508.97575378 -54.05553862],[195.13641894 594.1506958  -64.69952032],[217.9197675  662.35198975 -72.80418366],[243.97973478 589.8276329   -4.03298255],[258.86205196 675.0170517  -38.8358666 ],[260.11866152 676.5404892  -71.04197234],[253.45623136 642.98950195 -87.4134627 ],[296.8996489  584.15370941   2.2068619 ],[321.15707517 683.39658737 -29.46466818],[317.6961565  674.32239532 -64.75591108],[303.49575877 632.00769424 -85.1716885 ],[343.55733991 564.89278793   0.92868637],[377.29694366 654.58900452 -32.06280135],[369.82693791 643.81164551 -60.68101466],[350.42050123 596.43688202 -74.54960972],[390.24255037 532.84772873  -3.765614  ],[422.07046866 599.78033066 -33.02406751],[415.67883968 599.50922012 -51.0366413 ],[398.66048098 567.86304474 -59.52874973]
20,True,[ 2.81554216e+02  3.49519100e+02 -2.87479705e-04],[216.84510827 418.35926056 -34.77055773],[185.22640228 510.5134964  -44.19590995],[210.13309479 594.72593307 -54.84074861],[245.55362284 656.19363785 -61.59907043],[246.16160989 589.26618576  12.46393058],[266.24217689 673.36074829 -21.90107211],[269.5283711  640.54252625 -50.660377  ],[261.67352736 597.19018936 -64.64476302],[296.61592484 580.21900177  14.15999763],[316.36495471 679.45827484 -24.28241305],[314.4381094  636.29522324 -51.03422329],[303.46914053 583.72495651 -58.71181995],[341.16089344 560.96414566   8.00248174],[364.77661729 648.33978653 -32.40813643],[350.40279865 600.68155289 -40.36670923],[332.48830318 547.08847046 -33.22254159],[383.34234238 530.86458206  -1.57381363],[398.47206116 595.12561798 -33.51796143],[382.31324315 562.6216507  -34.42231581],[365.06236911 521.06300354 -25.67547128]
21,True,[ 2.81702660e+02  3.50465126e+02 -4.05737442e-04],[215.72039902 422.22722054 -34.09896612],[183.34757924 509.03171539 -46.3696821 ],[213.93103838 590.55845261 -59.62762669],[253.79010201 647.55666733 -67.45289102],[236.70568049 592.13481903   7.87642378],[253.7142545  673.04185867 -31.52977265],[253.16040516 627.1231842  -59.21034068],[245.17650962 578.06797028 -70.58627576],[287.89920688 579.75128174   9.01329651],[308.14593673 668.17737579 -33.81988898],[299.50389147 606.68712616 -53.408622  ],[287.72008896 550.14661789 -53.54284376],[332.72081852 557.1043396    1.98274171],[352.83561587 630.2939415  -43.55155617],[333.73514414 567.32751846 -41.98653549],[317.83974051 513.3131218  -25.64024314],[375.20765305 523.86886597  -8.17588052],[385.3941679  575.24986267 -42.07367644],[364.35951233 532.20697403 -36.8293637 ],[348.01246762 491.44002914 -21.54356249]
22,True,[ 2.75895796e+02  3.50375690e+02 -4.44634312e-04],[212.18549967 422.8334713  -33.99337023],[180.72878838 510.29485703 -45.63482389],[215.90162516 592.07130432 -58.48595113],[260.95005512 647.07120895 -65.77364445],[227.16613054 588.64133835   9.92013931],[243.80829334 664.04514313 -31.70021228],[242.07104266 612.11574554 -59.90182355],[235.60620546 563.53237152 -71.37285769],[278.84868264 575.01531601  10.9697514 ],[297.81297326 652.39728928 -34.8005113 ],[283.54549885 585.00137329 -55.32747701],[273.81548524 530.68250656 -56.05707273],[324.97561812 550.50756454   3.48378969],[343.27670574 623.36483002 -47.10630655],[319.44137335 554.53428268 -45.67601055],[306.49966121 500.62700272 -28.45128201],[370.73524117 515.03419876  -6.65589429],[379.60799932 564.96271133 -45.5572544 ],[356.32749796 519.67025757 -41.9387868 ],[342.30209827 480.43739319 -26.89100079]
23,True,[ 2.74800907e+02  3.53787575e+02 -4.55649557e-04],[211.32698894 420.10674477 -36.14340886],[178.38559449 511.01251602 -48.27315196],[217.64272213 594.20293808 -60.91567844],[269.7227937  643.07275772 -67.33537406],[223.17799687 587.78892517   9.63060156],[242.52653003 661.53774261 -34.26537439],[238.78021359 609.62968826 -62.11103305],[230.95850587 564.03745651 -72.72241384],[275.37562966 574.64590073  11.96860839],[293.7453711  641.85745239 -36.48129478],[274.77605939 569.46235657 -56.11332268],[265.12535334 522.63118744 -55.54610789],[322.46024251 550.81077576   5.38060147],[339.35136795 617.65062332 -50.56082815],[311.68584108 542.33276367 -47.77127981],[299.48683262 493.0329895  -28.21890146],[370.96286416 516.14107132  -3.63329376],[376.86126709 563.01166534 -46.85886875],[350.01012325 512.35433578 -42.93557882],[336.10661387 475.52221298 -26.46584317]
24,True,[ 2.73193030e+02  3.55343971e+02 -4.94953296e-04],[209.22382593 419.03223038 -35.7577984 ],[174.59275246 512.27697372 -47.77439386],[215.93368292 594.31314468 -59.58442032],[271.13772869 639.11029816 -64.60010424],[220.32879889 587.17741013   6.41040025],[235.6800735  656.63452148 -37.04434544],[230.77670038 598.75259399 -62.52295196],[224.74964797 557.12940216 -71.79490328],[273.10928106 574.30847168   8.31102261],[289.86531973 639.59415436 -39.13343489],[268.5221082  562.77477264 -55.57038456],[260.72642326 521.34595871 -52.93480843],[320.85519791 550.6347084    1.64398349],[336.29957199 613.14594269 -54.61390615],[305.19488454 534.41883087 -48.97598863],[294.81496096 489.92002487 -27.47536093],[370.66481709 516.54453278  -7.10880373],[374.95595455 562.46744156 -49.41213191],[345.54949164 509.48450089 -42.59262756],[333.74515414 474.5797348  -24.22658555]
25,True,[ 2.74313636e+02  3.57439613e+02 -5.15747834e-04],[208.43873262 418.04037094 -34.35825661],[171.51802361 510.98276138 -46.07577503],[214.08643484 593.05257797 -57.44127363],[271.85571313 633.57748032 -62.42736205],[218.51446152 583.90932083   2.87025047],[232.61223257 651.93059921 -38.74750257],[227.8084445  592.94139862 -62.20826447],[222.40133643 553.89667511 -70.88190079],[272.4040103  571.52498245   4.1640606 ],[287.03915119 634.03627396 -41.74007535],[265.75379491 556.69406891 -56.28037065],[259.14616227 517.3903656  -53.22239488],[320.44163346 549.02526855  -2.43493273],[334.67618108 611.47951126 -57.6618357 ],[303.37476969 530.98852158 -50.22211745],[293.93723488 486.38008118 -28.29665601],[370.97020268 516.29310608 -10.91188509],[374.96522427 563.13119888 -53.0041945 ],[345.51843166 508.08963776 -45.08744404],[334.58387017 472.09693909 -26.31517209]
26,True,[ 2.75249201e+02  3.59173965e+02 -5.12278849e-04],[207.44458795 417.8041935  -33.34733069],[170.04055023 512.48245239 -43.57365623],[213.38369071 594.55284119 -53.13637644],[271.90267324 633.16452026 -56.20301843],[217.70476162 582.1998024    3.63318211],[230.76416373 648.49754333 -36.18981376],[225.42435765 589.38995361 -57.68404841],[220.84592342 554.17860031 -65.59093773],[271.22254014 570.75124741   4.8338397 ],[283.13985229 631.33049011 -40.04665062],[261.46634281 552.75718689 -53.54395017],[257.40448594 516.44388199 -49.88670588],[319.18697119 548.80811691  -1.58676191],[331.66419983 609.67077255 -57.79003859],[299.07658339 526.81943893 -50.04595265],[291.70584083 484.04388428 -27.69917384],[370.34691095 516.48839951  -9.49434198],[370.9107542  562.08246231 -53.17456573],[340.9706068  504.68524933 -45.24014488],[332.58009911 469.49043274 -26.2335632 ]
27,True,[ 2.75775547e+02  3.61565924e+02 -5.09538206e-04],[205.44558048 417.76285172 -32.05857284],[166.17514372 512.19909668 -41.51608139],[210.5632031  595.18890381 -50.10167152],[270.44336915 631.78424835 -52.35111818],[216.00880623 577.13996887   2.85819512],[228.02613795 642.89525986 -36.05078012],[222.14540541 585.62015533 -56.59625709],[218.39596689 552.70505905 -64.32891682],[269.19258535 567.0731163    3.65705696],[279.56415653 627.54747391 -39.89039317],[256.6199398  549.75854874 -52.80550718],[254.04559851 516.43541336 -49.54267636],[316.65749788 545.93238831  -2.76590986],[328.71974587 606.90759659 -58.88301194],[295.08169055 522.59325027 -50.22216171],[289.03774023 481.9569397  -27.87895963],[368.49406242 514.3555069  -10.38904443],[368.29585791 558.31249237 -54.07865256],[337.99547911 499.80302811 -45.53122759],[330.96977592 466.50561333 -26.64480217]
28,True,[ 2.77549345e+02  3.64654827e+02 -5.51360015e-04],[204.29912925 411.39318466 -32.43206106],[164.51792479 509.20623779 -40.80943465],[207.64576972 596.57867432 -47.56323025],[269.28444564 633.03268433 -48.04395989],[214.74247634 573.47969055  -1.23963922],[225.08936048 640.68077087 -39.78563011],[220.64800858 582.51674652 -59.24545616],[218.56724739 549.34175491 -66.40598461],[2.68266563e+02 5.63912258e+02 2.67454607e-01],[277.15020061 624.64525223 -44.09204811],[254.95427191 543.63716125 -56.24698922],[253.75831783 508.70939255 -52.35118657],[315.22384644 543.7673378   -5.1201749 ],[327.65147567 604.17423248 -61.3819322 ],[294.35498357 518.43898773 -51.51854172],[288.75356555 477.4277401  -28.66423398],[367.16363311 514.80560303 -11.6721274 ],[368.40725541 557.91973114 -55.91836497],[339.54918623 497.20304489 -47.45388463],[333.2888782  463.68779182 -28.94089513]
