,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
max_angles,[33.010267812917526],[44.16658784482914],[26.54350828138511],[34.77164411553626],[115.503929019575],[15.489663757132991],[33.11930005729104],[122.36928031158024],[20.638748273870977],[36.583186227637654],[130.2107448282365],[24.872158863933176],[42.888346096229306],[125.06386402339747],[24.512166224062568]
min_angles,[25.855629677298218],"[21.07177104890521, 4.718901877698339]",[13.531551638752116],"[19.825356108955724, 6.931336405142243]","[51.005244541481936, 9.22970787906829]","[11.349610858277192, 5.603377371962254]","[17.85504284547235, 4.727360625937057]","[53.16872233369987, 7.6707380661073055]","[12.59675440841935, 5.683844159583156]","[19.637666948763574, 6.5397457057262445]","[56.841227001508216, 8.922170424233219]","[13.815327671216728, 1.9680513353656228]","[23.527275300149633, 11.904215636544604]","[51.887897008276134, 2.373031215159507]","[15.677579191446481, 6.114947416865795]"
max_times,[78],[46],[78],[45],[46],[45],[45],[46],[46],[46],[46],[46],[46],[45],[47]
min_times,[29],[29 78],[29],[29 78],[29 76],[29 75],[29 75],[29 77],[29 76],[29 78],[29 76],[29 78],[29 76],[29 77],[29 75]
