,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
max_angles,[50.7],[19.8],[109.4],[78.5],[94.0],[70.3],[89.2],[101.7],[69.3],[92.5],[94.1],[86.6],[81.7],[122.2],[44.9]
min_angles,"[22.6, 25.6]","[5.5, 13.5]","[6.6, 19.0]","[19.3, 24.7]","[4.3, 11.4]","[3.3, 11.7]","[20.3, 26.0]","[5.2, 20.7]","[6.4, 8.7]","[23.2, 27.0]","[10.8, 15.6]","[10.9, 9.7]","[25.6, 24.8]","[9.1, 17.1]","[10.0, 6.7]"
max_times,[162],[167],[162],[159],[159],[167],[167],[159],[167],[167],[159],[167],[167],[162],[167]
min_times,"[119, 196]","[119, 196]","[119, 196]","[119, 196]","[119, 196]","[119, 196]","[119, 196]","[119, 196]","[119, 196]","[119, 196]","[119, 196]","[119, 196]","[119, 196]","[119, 196]","[119, 196]"
