,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
0,True,[3.56249381e+02 6.67399349e+02 2.02150067e-03],[ 319.57359552  658.8932991  -164.24763858],[ 294.23766375  599.60357666 -243.04246366],[ 269.27123308  527.40205765 -292.82593131],[ 243.47379506  441.49392128 -342.14425564],[ 281.97827339  446.35949135 -136.60089254],[ 260.81765592  320.05393982 -155.93421757],[ 250.03984272  223.76601219 -176.12932026],[ 245.2106756   153.13473701 -189.92280006],[283.42122674 443.45641136 -54.79660884],[257.6636678  312.9504776  -55.23883134],[246.30661011 225.40532112 -73.39648783],[244.97642219 147.75595665 -89.88876611],[281.30882621 447.47139931  17.23375686],[260.52788079 337.56196976  25.40614463],[ 2.51099584e+02  2.61045971e+02 -6.03952284e-02],[246.6918987  202.44767189 -23.95590305],[276.29490852 452.57463455  75.99521041],[258.05603743 365.66579819  84.99590188],[251.06567502 300.64667702  70.61013401],[249.48351502 248.5289669   54.50223103]
1,True,[3.55602465e+02 6.59279537e+02 2.00205191e-03],[ 323.11137557  657.21096039 -168.03206384],[ 299.81948018  603.15193176 -249.01597381],[ 275.84471583  533.12610626 -298.8479948 ],[ 247.63792455  448.75104904 -347.87596464],[ 283.21272254  444.40315247 -155.31514227],[ 262.25854933  317.86182404 -179.89378989],[ 251.9247973   220.09516239 -201.7616576 ],[ 246.88852608  149.37423706 -216.29314184],[283.70491862 438.32651138 -72.12948203],[261.58602834 307.33943939 -80.11225909],[ 250.28352678  218.51141453 -100.41743159],[ 248.05131197  138.70877266 -117.92369753],[281.11113667 439.72578049   2.17445159],[261.9253546  331.3763237    3.70191414],[250.73349416 255.10591507 -23.41022104],[244.9635154  196.62005424 -47.82752976],[276.28515601 442.92102814  63.46276581],[258.30812216 359.49737549  66.56716257],[250.48132896 295.14292717  49.74973217],[248.41135025 242.74686813  32.4961967 ]
2,True,[3.63775713e+02 6.67601223e+02 1.92445198e-03],[ 321.23406529  657.29501724 -162.98991859],[ 296.65705919  599.29000854 -244.13812459],[ 276.06660962  531.43569946 -296.87306285],[ 248.98290217  452.02920914 -350.26298046],[ 286.06135726  448.72690201 -161.38107598],[ 264.79024351  325.54613113 -195.64158618],[ 253.26879323  228.20679188 -224.49082017],[ 246.04556143  156.054039   -244.37987745],[286.1302042  445.98918915 -89.34054136],[ 261.82773292  315.37084579 -110.48933834],[ 247.21021414  223.5011673  -139.00150716],[ 243.70276988  144.13570404 -162.40679562],[284.1964066  451.84018135 -26.25339612],[263.37554991 339.95727539 -38.79659906],[249.76019025 259.9814415  -73.38552833],[ 243.39648306  201.31118774 -102.09695578],[278.66589546 461.04595184  24.35192786],[261.57485962 374.27438736  14.9408222 ],[253.76715302 306.97088242  -8.06021679],[252.57147253 254.51004982 -29.65661645]
3,True,[3.67319963e+02 6.66479301e+02 1.95919542e-03],[ 327.98364043  661.20254517 -172.16016054],[ 301.93806052  605.49928665 -254.87713695],[ 281.82239413  535.49663544 -306.44816279],[ 250.333094    453.09139252 -357.71422148],[ 286.2373209   448.78074646 -166.27183199],[ 264.06158924  320.6118679  -197.93083549],[ 254.15308535  220.93973637 -224.84829962],[ 248.91041815  148.07985306 -243.76004577],[287.96927691 442.17862129 -88.12105894],[ 262.16829836  308.07080269 -108.72658789],[ 248.15784931  215.07435322 -138.31397116],[ 246.31359458  133.59054565 -162.80474961],[286.12653494 444.05568123 -19.44434635],[265.12429118 329.91156578 -31.35854043],[252.71206319 250.25296211 -67.47040048],[248.48346412 189.50145721 -97.79714406],[280.02571106 448.58076096  36.06410936],[263.05728972 361.51179314  27.06775703],[254.97041345 294.81476784   2.43095845],[253.97797465 241.12987518 -20.82956113]
4,False,,,,,,,,,,,,,,,,,,,,,
5,False,,,,,,,,,,,,,,,,,,,,,
6,False,,,,,,,,,,,,,,,,,,,,,
7,False,,,,,,,,,,,,,,,,,,,,,
8,True,[3.67535580e+02 6.62926197e+02 1.98837414e-03],[ 330.72181106  657.74929047 -173.23990524],[ 305.10238051  603.046875   -257.6536417 ],[ 284.73488688  534.92517471 -310.38701892],[ 252.72223413  454.93612289 -363.02679777],[ 288.01002502  445.53508759 -172.62601197],[ 267.37929404  319.58270073 -204.36895788],[ 258.15705478  222.00071812 -230.8556217 ],[ 252.67815471  150.55129051 -248.58605862],[288.31827521 439.83249664 -90.9666118 ],[ 264.93205726  309.29443359 -107.10211873],[ 251.61102712  219.42881584 -131.07397825],[ 248.65297437  142.82209396 -151.31783545],[286.84091449 444.18047905 -18.04334812],[267.58301854 334.32952881 -24.51631844],[255.56756973 255.60267448 -54.27188024],[249.66108799 200.20903587 -79.96883601],[283.11886668 451.38367653  41.58496052],[265.81665516 366.30140305  37.49631643],[258.12245429 300.502882    18.30570236],[256.35015249 250.36520004  -0.31177907]
9,True,[3.69334259e+02 6.57905674e+02 1.95435192e-03],[ 329.34390664  657.29661942 -176.88681364],[ 302.65063763  602.25551605 -263.18791866],[ 280.90395212  532.615242   -317.13250637],[ 250.89713037  449.33578491 -370.94593406],[ 289.00606871  442.161026   -174.21898663],[ 267.52398849  312.23793983 -204.74718153],[ 256.65759802  212.76931286 -230.20281494],[ 250.78383386  140.54712296 -247.6774013 ],[289.46153998 434.85408783 -90.58599025],[ 263.62565517  299.06719208 -104.79851425],[ 249.23086703  208.34361076 -128.24470371],[ 245.38995445  128.78096581 -148.66431534],[287.10761189 435.76100349 -16.2894389 ],[265.45206249 322.32650757 -20.14488369],[252.90685594 244.76071358 -51.5217483 ],[247.16524959 187.28004456 -79.61506605],[281.99845433 438.29818726  44.26876813],[262.6899451  351.58161163  42.12082162],[254.2221576  286.62231445  20.69384471],[252.43870318 236.51350021  -0.73254531]
