,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_0,33.1,17.9,4.7,23.4,4.4,2.5,14.6,12.0,6.3,8.1,22.7,4.6,15.1,19.1,6.4
angles for frame_1,32.3,20.3,5.1,25.0,3.7,2.1,16.1,9.6,5.5,8.7,20.2,4.1,15.5,17.4,5.8
angles for frame_2,30.9,16.1,4.5,21.3,3.1,1.5,14.5,8.1,6.3,9.6,16.8,4.3,16.7,13.4,6.1
angles for frame_3,31.3,19.2,6.6,23.9,4.2,1.6,14.4,9.2,7.0,9.7,18.3,5.0,18.1,14.9,6.4
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
angles for frame_8,30.5,18.8,6.7,24.7,4.0,1.6,16.8,8.0,6.0,10.3,17.2,4.9,16.6,14.3,6.1
angles for frame_9,31.4,19.1,5.6,26.0,3.3,1.7,17.4,8.6,6.1,9.7,19.9,5.2,15.0,17.5,7.1
angles for frame_10,31.4,16.3,6.1,22.7,3.3,1.6,15.2,8.3,6.6,10.4,17.0,5.0,17.3,13.8,6.9
angles for frame_11,30.2,15.9,6.8,23.1,3.5,2.2,16.4,6.5,6.7,10.7,15.3,5.2,15.3,12.8,7.1
angles for frame_12,31.2,15.4,6.3,22.0,2.6,1.8,15.0,6.1,5.5,9.5,13.1,3.6,15.4,10.0,5.3
angles for frame_13,28.1,18.2,4.5,24.2,1.6,1.0,15.9,6.7,4.0,9.7,16.7,3.1,13.8,14.7,4.4
angles for frame_14,27.7,14.6,11.1,23.9,3.0,3.3,18.2,5.8,2.8,13.2,11.4,4.5,12.8,9.3,5.4
angles for frame_15,26.3,23.6,8.2,23.9,9.3,5.4,13.5,13.1,0.3,2.8,14.9,7.6,7.6,11.9,7.7
angles for frame_16,27.7,19.9,11.7,19.1,22.8,14.3,10.1,24.7,6.2,0.9,20.9,14.2,7.0,14.9,8.3
angles for frame_17,29.8,21.9,11.4,20.1,30.0,20.5,12.0,35.2,11.0,6.2,31.2,15.4,15.9,23.9,12.7
angles for frame_18,35.6,20.2,7.9,19.1,43.5,27.4,13.9,45.2,25.9,14.3,45.9,23.9,27.9,34.9,19.8
angles for frame_19,35.3,19.5,7.8,26.6,66.2,34.6,21.2,60.8,36.8,20.2,58.6,32.8,32.1,42.6,30.1
angles for frame_20,38.8,17.3,7.6,22.8,77.4,34.0,24.5,75.4,41.8,26.0,76.9,37.5,31.8,61.8,42.4
angles for frame_21,41.3,12.2,5.7,13.0,90.3,34.8,28.5,89.7,44.7,33.5,94.6,47.0,31.8,82.2,51.3
angles for frame_22,40.7,15.7,5.6,27.0,96.0,40.3,38.5,94.4,49.5,43.1,96.4,54.8,38.6,92.4,57.7
angles for frame_23,37.9,14.8,9.7,36.5,98.9,44.4,44.4,97.7,50.9,47.7,98.2,52.5,47.7,88.9,57.7
angles for frame_24,35.9,13.6,13.2,40.6,100.9,40.3,48.4,100.5,47.1,49.6,100.8,48.5,46.7,96.9,49.6
angles for frame_25,33.7,15.6,17.3,43.0,102.5,40.9,51.2,103.2,48.4,52.3,104.8,49.2,49.3,104.4,47.2
angles for frame_26,34.0,17.8,31.5,45.4,105.7,40.5,55.3,102.8,48.0,56.7,103.9,48.1,54.2,104.8,46.2
angles for frame_27,39.7,20.8,58.3,57.4,103.0,48.5,64.9,100.3,51.5,66.2,99.4,51.7,63.4,105.3,45.2
angles for frame_28,40.7,19.0,67.8,62.9,103.3,53.0,69.1,102.2,54.8,70.3,101.0,56.2,66.9,109.9,44.1
angles for frame_29,40.7,16.7,69.5,68.3,99.4,55.8,72.5,101.8,57.5,72.8,99.2,61.6,66.9,112.9,43.4
angles for frame_30,48.2,20.4,75.7,72.7,102.8,58.7,78.7,102.4,55.8,78.6,98.2,60.5,73.5,113.8,42.0
angles for frame_31,49.3,20.9,94.3,77.4,100.0,62.7,83.7,99.8,61.9,84.6,94.8,68.8,77.2,113.4,43.9
angles for frame_32,48.1,18.2,94.6,75.7,97.2,63.3,82.9,102.6,64.6,85.0,95.4,77.3,77.3,115.2,44.8
angles for frame_33,52.7,16.5,102.5,81.3,93.5,67.9,88.0,102.6,63.6,91.0,96.9,76.3,81.2,121.1,41.1
angles for frame_34,51.6,19.9,126.4,79.9,92.1,69.6,89.4,99.1,68.5,92.2,92.8,83.0,81.6,121.4,41.9
angles for frame_35,50.9,21.2,115.3,79.0,91.6,68.7,88.4,98.2,69.5,91.1,92.7,83.0,81.8,118.1,45.5
36,,,,,,,,,,,,,,,
angles for frame_37,52.6,22.6,115.9,79.2,93.2,68.2,88.0,99.7,65.0,92.2,93.0,78.1,82.7,118.7,43.0
38,,,,,,,,,,,,,,,
angles for frame_39,52.4,21.0,127.6,80.4,93.4,71.5,91.0,98.4,69.4,93.6,91.0,85.7,83.6,122.3,42.3
angles for frame_40,51.6,18.6,125.7,80.1,92.7,69.8,90.5,99.2,67.6,93.0,93.9,81.7,83.1,122.3,43.9
angles for frame_41,51.0,17.6,134.8,80.6,93.8,69.0,91.3,99.8,66.9,94.4,93.6,81.4,84.7,120.5,43.2
angles for frame_42,51.7,21.8,104.8,82.8,94.9,70.1,93.4,97.8,67.8,95.9,90.0,83.0,87.3,117.3,44.1
angles for frame_43,51.3,21.2,124.6,80.2,93.5,71.1,91.2,97.2,70.8,93.9,89.8,84.4,83.2,121.4,40.9
angles for frame_44,51.9,21.1,123.9,80.3,92.5,68.9,90.6,97.6,65.5,92.8,91.3,78.5,83.2,120.0,39.0
angles for frame_45,51.4,21.3,115.5,80.9,93.9,68.7,91.6,97.7,66.8,93.6,91.3,79.3,85.0,119.3,40.3
angles for frame_46,51.3,17.2,127.8,79.7,90.9,70.6,89.7,100.1,67.2,91.6,96.1,79.9,81.0,125.2,40.9
47,,,,,,,,,,,,,,,
angles for frame_48,49.0,16.2,98.9,74.9,99.4,62.7,83.1,103.5,60.7,84.7,97.8,73.4,75.2,120.4,38.1
angles for frame_49,51.5,17.0,84.2,76.3,104.1,59.9,86.5,100.5,62.3,87.0,96.0,70.2,78.3,116.8,40.7
angles for frame_50,46.2,15.5,45.7,69.2,106.0,51.8,77.3,102.5,52.3,78.8,98.0,60.0,71.1,113.0,42.8
angles for frame_51,38.2,12.2,9.5,57.0,102.5,38.5,65.7,101.5,42.4,70.2,98.1,45.5,66.2,101.4,42.6
angles for frame_52,41.1,16.8,9.0,49.6,93.8,41.1,58.5,93.0,47.6,62.8,89.5,53.4,62.0,87.3,53.1
angles for frame_53,44.1,18.0,7.8,41.6,83.2,39.7,46.8,83.7,43.1,52.3,79.6,54.1,54.5,73.9,61.8
angles for frame_54,43.1,17.9,9.1,36.0,67.5,26.9,35.5,62.8,26.4,36.7,61.8,26.0,41.8,52.8,32.5
angles for frame_55,44.2,18.7,9.3,37.5,49.0,23.4,36.7,45.5,25.0,37.1,46.5,19.6,46.2,37.3,22.7
angles for frame_56,42.6,20.2,8.7,37.8,48.8,21.4,36.7,38.4,24.8,37.0,42.7,18.3,51.3,36.1,17.7
angles for frame_57,41.0,19.9,7.1,36.0,47.2,19.6,31.5,36.3,20.8,31.6,39.0,14.4,42.7,34.4,13.1
angles for frame_58,39.0,20.4,6.4,32.7,32.5,17.7,29.6,28.7,20.0,29.6,30.7,11.4,41.8,26.2,8.9
angles for frame_59,38.3,19.4,6.4,27.8,22.4,11.0,21.1,23.8,13.4,23.9,27.1,8.2,36.4,23.2,5.3
angles for frame_60,37.4,19.7,7.8,30.0,14.7,6.5,18.0,19.8,9.4,14.6,25.5,7.8,29.6,23.1,2.9
angles for frame_61,35.3,20.0,9.2,28.3,12.1,6.4,14.0,16.4,3.9,5.3,21.6,9.0,22.7,18.5,4.0
angles for frame_62,32.6,18.6,9.2,26.6,8.8,3.8,12.5,14.4,0.6,4.1,23.3,9.5,14.5,20.3,5.4
angles for frame_63,32.2,17.8,11.0,24.5,6.4,3.3,13.2,11.0,2.2,1.5,16.6,7.1,11.0,13.6,6.4
angles for frame_64,27.1,18.3,9.1,24.0,3.8,3.6,16.3,9.4,2.5,5.8,10.2,7.2,4.6,8.5,5.0
angles for frame_65,25.1,18.3,7.3,21.0,2.5,3.9,16.5,3.8,3.8,5.9,10.9,5.9,5.3,10.7,5.8
angles for frame_66,25.9,14.9,7.1,23.5,3.3,5.1,17.6,7.3,5.8,8.1,22.4,9.5,1.5,20.8,14.1
angles for frame_67,23.5,16.0,10.2,23.2,3.3,5.7,19.1,5.9,4.7,11.0,21.2,10.1,5.9,19.6,14.5
angles for frame_68,21.9,16.1,7.4,23.4,2.8,5.5,17.1,7.9,6.1,6.9,19.2,7.1,2.8,19.5,11.3
angles for frame_69,17.9,7.7,8.0,14.7,2.7,3.3,10.0,5.5,7.6,7.4,10.3,10.0,5.2,9.4,10.3
angles for frame_70,20.5,13.1,6.9,21.9,3.3,4.2,16.0,8.0,6.0,8.2,16.1,7.4,12.1,12.9,9.6
angles for frame_71,18.6,9.0,7.7,20.5,2.9,2.9,15.0,7.1,6.2,10.1,13.6,7.8,12.5,11.2,9.1
angles for frame_72,23.6,14.2,7.0,27.4,3.3,2.9,20.4,6.4,6.5,12.8,16.0,7.8,16.2,13.6,8.3
angles for frame_73,25.2,15.9,7.2,28.7,4.0,2.1,20.3,7.4,6.4,11.7,16.3,6.2,17.0,14.1,5.9
angles for frame_74,24.3,13.6,4.8,26.8,3.2,1.8,19.6,6.4,6.7,12.5,14.3,6.6,16.4,11.6,6.2
angles for frame_75,24.5,17.1,3.8,26.3,3.8,2.0,15.3,8.3,7.0,9.1,15.8,6.3,18.2,12.3,6.0
angles for frame_76,24.3,15.0,1.4,24.3,3.6,2.3,16.5,7.6,6.4,10.8,15.5,6.6,17.2,11.8,6.2
angles for frame_77,24.3,13.0,1.4,23.8,3.7,2.4,17.0,6.7,6.2,10.7,14.6,7.2,14.8,11.2,7.2
angles for frame_78,24.9,10.8,1.1,23.4,4.3,2.2,18.4,6.5,6.4,13.4,13.4,7.5,14.7,9.7,7.7
angles for frame_79,24.9,12.5,0.8,24.6,3.7,2.0,17.6,7.4,6.8,11.4,15.3,7.3,14.8,11.8,7.3
angles for frame_80,22.1,9.4,2.7,21.4,5.0,2.6,16.8,7.2,6.7,12.2,13.8,8.1,12.4,10.3,8.3
angles for frame_81,21.7,10.4,3.3,23.3,4.8,1.9,18.7,6.9,5.8,13.6,14.4,7.3,14.1,10.8,8.4
