,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
max_angles,"[48.1, 49.6]",[23.3],"[86.1, 91.9]","[70.5, 77.1]","[97.1, 98.7]","[60.1, 63.9]","[79.1, 85.9]","[100.0, 101.4]","[60.7, 64.2]","[81.4, 88.3]","[95.9, 94.3]","[69.8, 77.8]","[74.2, 80.3]","[114.0, 114.9]","[44.3, 51.5]"
min_angles,"[33.4, 23.2, 27.2]","[12.1, 12.3]","[14.3, 5.8, 7.7]","[29.4, 23.4, 19.9]","[40.1, 3.8, 3.7]","[18.7, 3.4, 2.8]","[26.7, 16.7, 14.6]","[42.4, 7.4, 8.1]","[22.2, 5.8, 5.5]","[23.7, 10.1, 9.3]","[47.0, 15.4, 13.7]","[22.4, 7.8, 5.6]","[27.7, 12.5, 12.7]","[43.5, 12.8, 11.7]","[21.9, 7.8, 6.3]"
max_times,"[57, 148]",[134],"[52, 149]","[53, 149]","[51, 138]","[52, 148]","[53, 149]","[51, 152]","[50, 149]","[53, 149]","[51, 151]","[50, 149]","[53, 149]","[51, 150]","[50, 134]"
min_times,"[29, 95, 196]","[95, 196]","[29, 93, 186]","[29, 98, 196]","[29, 93, 196]","[29, 93, 196]","[29, 98, 193]","[29, 93, 196]","[29, 90, 196]","[29, 89, 196]","[29, 93, 196]","[29, 88, 196]","[29, 91, 196]","[29, 93, 196]","[29, 87, 195]"
