,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
max_angles,"[41.28194546171776, 37.40612866170575, 38.58439363111652]","[39.72435974393412, 40.92123378453217]","[24.531022396130897, 9.04953498930974]","[31.68328752784684, 34.11470023123124]","[54.46251727022746, 46.35861909438024, 41.21800886500516]","[44.71643643984237, 24.761838052356115]","[38.60190569621956, 40.01217658611158, 41.92940567937445]","[68.92052286096994, 68.45841505650995, 62.170411955901145]","[43.77196269966708, 27.531732468083835, 24.094371883640505]","[41.124831927855, 39.389570872554046, 42.26110910793875]","[72.4721350975013, 70.0251099505023, 59.57950643547943]","[44.87625180855331, 38.46033153315246, 34.35462263557488]","[51.5018708749034, 38.164684426150615]","[58.04649440648927, 62.26403612759816, 45.30224935818519]","[46.865459123851245, 51.91928642264805, 48.16076073776853]"
min_angles,"[25.104902413654347, 29.897946559533487, 23.28916114870468]","[12.810851079703939, 20.378586635928684]","[3.1100924755128108, 2.301963528130741]","[23.47014700299098, 22.90294447789923]","[27.28966666158332, 8.110498389117714, 32.51296205422276]","[17.453150667523154, 6.3423187271281405, 19.986388937067222]","[26.780175799227504, 18.919746491244833, 17.840637808913943]","[34.348614135742835, 17.434537456425474, 40.43973251736472]","[19.62031388141725, 20.814841120101054, 17.288935657615003]","[32.199118684714726, 20.568662516378783, 12.307974816052417]","[42.68446786513399, 28.603340814568377, 20.079502903703762]","[19.58898333401959, 30.217630043778765, 9.613119120264379]","[37.88034312590082, 13.685836198664633]","[38.400215137412246, 26.327427826843525, 10.14543959530548]","[14.138146516166692, 21.91515712886003, 6.616655238631645]"
max_times,[177 269 357],[268 357],[177 357],[272 357],[182 272 357],[192 274],[174 272 357],[182 272 357],[194 272 357],[174 272 357],[180 272 357],[194 272 357],[174 357],[180 271 357],[194 271 357]
min_times,[139 242 299],[104 318],[129 327],[242 301],[142 242 309],[114 242 339],[138 242 306],[131 242 330],[137 260 332],[140 242 309],[127 242 312],[136 260 306],[143 325],[115 242 301],[118 242 303]
