,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
0,True,[ 2.11558893e+02  7.56323948e+02 -6.19963232e-04],[125.07053465 657.56795883 -94.71945405],[ 84.03784633 541.69120789 -98.48686069],[ 84.78772759 433.20241928 -67.81913728],[122.11572468 377.96951294 -19.46939349],[304.12677526 484.22206879 -85.46196252],[280.709095   329.16469574 -65.85097253],[215.59862137 290.54457664 -37.6194419 ],[158.71139824 280.66580772 -13.3092539 ],[349.43993926 489.35520172 -11.61687221],[312.45197654 319.52018738   6.72476437],[224.25601959 308.02451134  26.34996369],[160.51476002 339.40727234  43.71357098],[355.25336981 496.07934952  59.29379627],[311.36117578 354.93032455  70.49110025],[232.35309899 351.59053802  64.40642193],[176.56546354 377.24349976  64.33650076],[341.2561655  502.40432739 125.39086282],[305.47538996 413.12699318 128.13563973],[246.19242847 395.28679848 115.05184025],[197.18121171 408.01228523 109.74508971]
1,True,[ 2.11156272e+02  7.43466454e+02 -7.66312244e-04],[124.06442463 655.37229538 -92.68920153],[  85.9117046   533.00439835 -103.34116548],[ 85.21814972 424.47395325 -84.29033339],[120.19243598 378.24989319 -49.89643022],[298.56320858 478.90371323 -82.10396022],[269.36215997 331.50272369 -69.15628552],[202.83673525 300.4617691  -46.41853318],[146.95146203 299.91691589 -26.13482907],[346.09720945 476.74647331 -15.20467311],[313.9900732  311.88789368  -9.59629979],[231.11333907 295.60712814   3.94371805],[169.36347485 316.98223114  18.88191931],[358.72436285 477.88152695  48.62278998],[319.47787285 341.10068321  49.49405462],[239.73747253 335.59244156  42.01424807],[181.60125196 357.76968956  41.85716584],[350.17562628 484.94327545 107.56847709],[312.8853035  398.01504135 101.13415271],[253.94718826 381.63431168  86.63490325],[206.31744862 388.6141777   81.83558911]
2,True,[ 2.11164592e+02  7.39993916e+02 -8.49879368e-04],[126.87150657 650.91522217 -94.76198852],[  87.25407511  524.75246429 -104.74013597],[ 87.22413361 416.84781075 -84.14755404],[127.64943033 371.83568001 -47.84325287],[305.37979603 476.30038261 -84.13792223],[278.70590329 323.7191391  -72.26031214],[212.34250546 292.53676414 -50.35547823],[157.01021254 292.34218597 -30.36066011],[351.62414789 477.72462845 -16.14288468],[318.11657667 311.65826797  -8.45047116],[230.96793652 298.67076874   5.80699677],[167.43349135 324.36544418  20.9491843 ],[362.26503968 480.12971878  48.25503498],[320.36741138 343.02323341  49.56366196],[236.88183725 341.21744156  40.10819122],[177.89283514 367.65166283  38.51848751],[353.94241333 487.11719513 107.76791275],[313.40746522 399.01585579 100.16748726],[253.04335892 386.83725357  84.18947697],[205.08880913 398.69298935  78.50555688]
3,True,[ 2.15169012e+02  7.41109085e+02 -8.71146585e-04],[129.50915068 649.20948029 -92.89930701],[ 91.04643434 520.72568893 -97.23775059],[ 93.1054455  413.37947845 -70.5118686 ],[134.95527685 369.08823967 -27.42106631],[308.50343227 471.78245544 -70.37120551],[285.63562632 323.22372437 -51.64624974],[218.62227023 291.18404388 -26.84619315],[161.62414849 289.92267609  -5.52645313],[352.59778976 474.51324463  -1.05165216],[322.87950397 311.28507614  14.31218952],[234.62339044 299.41494942  30.02005443],[169.41693664 326.21317863  45.71545914],[362.42799997 478.16596985  64.1499196 ],[321.64048433 344.1402626   70.70460141],[237.38845289 345.84280014  59.91772369],[177.98952341 373.10236931  56.92500606],[355.49676418 486.54195786 124.54875916],[313.77715945 400.21036148 119.87032145],[252.87899852 391.05669022 103.28027666],[204.60256755 404.24451828  96.96240306]
4,True,[ 2.14981429e+02  7.45287209e+02 -8.32693725e-04],[132.68194377 652.44621277 -94.67128694],[  93.37940902  524.9107933  -101.24600887],[ 92.06826746 417.5483036  -77.03066647],[132.40778714 372.15740204 -36.87382132],[313.48757744 475.84201813 -72.65049309],[287.99917817 327.6965332  -56.69970453],[221.79758191 295.31393051 -34.5373182 ],[165.14242351 293.13325882 -14.75509297],[355.27960181 478.3470726   -3.57201819],[324.54898596 314.32760239   9.44476068],[238.15091908 300.51424026  23.21243897],[171.85335875 325.62930107  37.86814705],[363.15473914 482.63677597  61.18971035],[315.57410002 352.3005867   66.4518021 ],[231.63773775 353.49437714  54.96870205],[171.17232442 380.51905632  51.83926016],[354.06913161 492.1480751  120.87127358],[306.05915666 409.45272446 115.17259598],[243.79844427 401.2156105   98.4806326 ],[193.75978589 415.09706497  92.42780685]
5,True,[ 2.16651860e+02  7.41423340e+02 -8.56485151e-04],[134.07594949 652.16588974 -94.6286881 ],[  95.23958802  527.87572861 -105.66400945],[ 96.27366811 420.69683075 -86.91448331],[136.1112231  374.68774796 -52.98252493],[311.76077127 479.64159966 -80.90538293],[288.51625443 332.07564354 -69.27103847],[221.45012856 300.01585007 -49.04178187],[164.75460827 298.82669449 -30.49580924],[358.13406229 480.78105927 -13.71927179],[325.49082756 317.34563828  -4.79055388],[237.8211844  303.71675491   9.04336374],[172.92544305 328.58656883  23.32512595],[369.37500715 483.50784302  49.55418304],[327.15754151 348.26105118  51.60489812],[243.70259285 347.58868217  43.22498381],[183.74382734 374.38427925  41.88735276],[362.16960669 491.69116974 107.76976347],[319.49766755 404.57267761 100.22355616],[257.79611528 393.68379593  85.29794008],[208.84215832 405.98842621  80.28891474]
6,True,[ 2.21843914e+02  7.47040215e+02 -8.74599332e-04],[139.50707674 655.86685181 -90.68166465],[101.75839394 530.75815201 -96.24347717],[ 99.68599319 425.43045044 -71.38603806],[136.37751818 378.01952362 -30.70712976],[316.57548666 482.12934494 -73.13657373],[292.97292709 336.81066513 -56.85847253],[226.59995377 302.1781826  -33.73002626],[169.2829603  297.47345924 -13.21331296],[361.03052616 484.52619553  -5.16573491],[328.91843319 323.24392319   8.42200421],[241.28524125 309.30321693  24.47436534],[175.72143674 332.4131012   40.27490124],[370.74331999 487.86334991  59.10599604],[326.15702391 356.41762733  64.94777486],[241.36720419 355.9798336   56.61256358],[180.4708457  381.08782768  55.19025385],[363.46240997 497.05060959 118.7414521 ],[318.39981794 412.66462326 114.49305028],[256.74413145 402.31424332 100.23890108],[207.75589585 413.69813919  95.54585069]
7,True,[ 2.24348701e+02  7.44453621e+02 -8.16169691e-04],[142.20374286 655.15457153 -93.59697372],[ 104.26832199  532.76699066 -102.7278918 ],[104.13787812 426.77075386 -82.21189767],[144.01455581 379.22893524 -46.22372031],[317.98564196 482.0870018  -72.40696996],[295.30091286 336.17214203 -58.21524248],[230.40719926 305.05743027 -37.85988316],[174.6611166  304.05750275 -19.47429992],[362.97343254 483.29475403  -4.71494626],[332.15819836 322.51170158   7.19399186],[247.00716555 309.59086418  20.58140919],[183.19504738 334.95351791  34.30107325],[373.5647893  486.62847519  58.65771845],[333.3225131  353.9898777   63.01756606],[251.33642793 353.53920937  53.43585581],[192.49018908 379.59926605  51.00881606],[367.08068848 494.6554184  117.00021833],[327.96069145 408.31458092 110.78904301],[268.74714017 397.11158752  95.05661577],[221.54742837 408.2613945   89.28950965]
8,True,[ 2.26260499e+02  7.44171638e+02 -8.16914117e-04],[145.86284995 654.4826889  -92.86712855],[ 108.48983198  531.39226913 -100.69767147],[109.40897405 425.60874939 -79.11594182],[149.88159299 378.69555473 -42.15417489],[322.95684814 484.05515671 -67.89073616],[300.59897304 340.24523735 -54.27191645],[236.34099126 307.0645237  -35.54842114],[180.64660013 302.87017822 -18.20373952],[365.82798958 484.91317749  -0.88131607],[337.64065504 324.19086456  10.65618038],[252.3577863  311.04686737  23.17000307],[187.31102586 336.39175415  37.00861841],[374.93735075 487.60311127  61.40633762],[333.46162319 357.45162964  65.0550364 ],[249.93885756 358.04008484  54.39156979],[190.50740361 384.26922798  52.13273272],[367.57648945 495.47487259 118.66854966],[326.02164745 411.38148308 112.52829731],[265.50132394 401.34561539  96.74597293],[217.78271735 413.17803383  91.35582715]
9,True,[ 2.29829017e+02  7.37798996e+02 -8.12286041e-04],[147.64070392 649.78162766 -89.64898467],[ 110.73646635  525.93481064 -101.28735244],[115.30222714 419.62646484 -85.2037704 ],[158.25291753 375.90808868 -54.58146617],[325.66360474 482.49372482 -74.34271485],[301.63003564 338.00087929 -63.26171681],[236.97538733 307.0939064  -44.98369485],[182.30698943 305.50658226 -28.39273073],[371.14410639 483.15244675 -11.48021132],[341.91878915 323.50135803  -3.31674775],[257.86921084 310.7015419    8.92436419],[195.60107946 335.17284393  22.05043159],[382.315979   485.94646454  47.70743385],[342.07144976 354.93784904  50.47167152],[261.5794462  354.36970711  43.12913239],[205.03314257 380.17504692  42.16353312],[375.03947854 493.4734726  101.96417034],[336.84838414 408.31644058  96.2957561 ],[277.34859824 396.83584213  83.39639336],[230.82209945 407.64862061  79.47538465]
