,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_0,39.55769274893946,26.34972870591476,36.088153246316026,35.979354567255555,50.820080448455336,19.484135932923596,40.393005856099045,69.50210280883374,32.76515459454249,46.22201787005858,70.77650235199849,27.432183928547214,52.191188567491906,52.83630065553664,31.464721573189887
angles for frame_1,40.684083693637845,22.392301275521763,40.49790223325661,36.13653752806214,54.00311719464528,23.321070011667004,38.15030951971505,67.84518921216922,29.873294472352367,45.705255460626354,70.1643232033361,25.334084150749554,55.94652779171142,51.44216154103742,24.727408063977137
angles for frame_2,40.94897878787487,23.00458141308866,43.7020651037133,36.05382167942028,55.18032061671702,23.90716112594543,39.971410740197655,69.96183557054273,30.113452363435655,47.72668955184544,71.95101630232604,25.807327842888103,58.65930186289813,53.95838969123707,26.087064534834848
angles for frame_3,42.30847948700122,23.67665789221096,43.47423181856997,34.70716848309039,55.2761493259145,22.964322959571803,37.93597836969791,71.4160904634633,29.51649398231121,46.66603373834779,74.73244609399704,23.860045741190653,59.210496657944574,56.170909698827415,24.645819648229907
angles for frame_4,41.16677066494336,22.524512969225416,43.70463945699089,35.88017177398931,53.99817572416968,22.814183995813323,38.64585800175465,69.87895710135774,29.463144027041167,49.92740890344978,71.26934705540026,23.711917646665622,63.10584377827627,52.77820842749093,24.0618760963257
angles for frame_5,40.35115559377749,23.15624032743359,42.29134748273022,35.277121285328356,55.578094001639165,23.485100912608395,40.180808639663354,69.64589375089162,29.44489022062511,48.480345014398345,72.38343019811177,24.911934700711345,60.60189601519057,53.88080787799868,24.986218296426546
angles for frame_6,41.235113374040154,22.101252923126776,40.883671649675385,35.46177387599634,53.05527127912459,21.816583627773504,39.5708885053021,69.2135711787942,27.98340205724113,48.99348578029982,71.32842478442184,23.074833758645436,61.49027051418369,52.80083291132131,23.538208692371644
angles for frame_7,40.80575346321005,22.74419771022331,41.81035675495885,34.63724351915752,55.39492703814471,23.621767154862173,39.11074541766969,70.13768882139811,29.925556261087344,47.49374578201715,73.15445865679021,24.53921022840356,58.85902046348342,55.14353905493646,24.83345866952784
angles for frame_8,41.0955729699377,22.901741723868984,41.90184323945401,34.729724773894425,53.70784329336127,22.28004882291262,38.44283263854259,70.92703317002174,29.751248651020322,48.44335087583951,73.08029749017912,23.91486552510905,60.54956250504511,54.523531658187785,24.347735218061505
angles for frame_9,39.74769239812434,23.446620203572547,43.633247926519644,35.594280601400015,55.0581932832114,23.135332599780728,39.72109465082369,70.75986943145332,29.816628264143237,48.68896178813411,72.70736286340578,25.264891564975887,58.665285651795685,54.99402709007231,24.83338626833863
angles for frame_10,40.13569998381312,22.676536967632824,43.58628151447085,35.09620936525694,54.978992564978284,21.975158862461694,38.67072592716493,70.22603536166832,28.50834686893479,47.90060891890352,71.25878468033794,23.22746744595843,59.739889784439505,52.580931962052176,23.202828236547944
angles for frame_11,40.84189857441244,22.112263948182147,42.330760132768944,36.49624989573542,53.59537708588838,21.606071501988353,39.48934194502726,70.46011445509409,28.433597830073506,47.55978507094331,72.3445728208665,22.52804122967258,58.4759645999865,53.58977252620616,22.020600827942747
angles for frame_12,41.67298494727015,22.248416505881117,38.95569797934396,36.504064622784824,52.86073772106385,20.946224341527458,39.163951762112085,68.49864299014074,28.155306938241548,48.1708926166399,69.37743596775267,22.405882907549273,59.64759558641689,51.686524341805104,22.50040003459762
