,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
0,True,[2.78381785e+02 2.74120560e+02 4.44436818e-04],[167.63264537 328.71528625  -3.031569  ],[121.6822207  409.76400375   0.45860104],[136.49812102 497.97420502   8.43094904],[158.82310152 560.88615417  17.32355922],[200.28778911 488.37587357 -18.84130597],[209.98616338 591.02594376 -23.17728527],[220.3075397  645.10345459 -21.60855107],[229.87150311 684.84546661 -19.62357692],[270.8709991  493.12894821 -17.62705386],[282.66374946 620.20225525 -32.65762411],[291.05348468 694.37936783 -36.68076664],[297.62529373 748.42500687 -35.72562397],[327.52945662 482.22421646 -14.17812366],[340.15174985 597.95385361 -26.44257233],[343.97940159 664.66650009 -31.38136871],[347.33713031 715.34002304 -31.05107881],[370.70817232 455.87313652  -8.79573181],[382.69165993 548.47509384 -11.94107585],[385.50797939 599.85134125  -9.19609174],[384.32963133 642.52779007  -4.79203345]
1,True,[2.78524468e+02 2.74216862e+02 4.27976477e-04],[170.63696623 330.03570557  -0.53394877],[124.28926349 408.64059448   5.27008206],[137.69412339 497.538414    13.02776679],[162.28299022 556.77286148  21.00490719],[199.20064151 492.82424927   1.21430957],[ 2.10047607e+02  5.94088440e+02 -5.77745056e-01],[221.67520881 644.23324585  -1.6431909 ],[232.84029007 680.55656433  -1.45643208],[2.65924464e+02 4.99533119e+02 2.72130483e-01],[278.37660313 621.5007019   -4.80827959],[289.51725483 694.31682587  -9.33651343],[298.35145354 746.81465149 -10.94067592],[ 3.22265836e+02  4.88125305e+02 -2.04543248e-01],[337.72527337 597.34382629  -5.4314808 ],[344.86099005 662.4858284  -11.83792714],[349.23017979 710.86755753 -14.71420202],[369.05819535 461.71268463   0.65644339],[383.23020458 548.28065872   0.60447356],[387.91337371 597.32585907   2.62095767],[387.70525575 637.44249344   5.49940087]
2,True,[2.80071126e+02 2.74742117e+02 3.92207288e-04],[172.12118268 333.6174202   10.73142137],[126.64063275 409.01192665  21.73046954],[138.95720243 498.35763931  34.59884673],[163.11623454 558.67515564  48.36093262],[199.04355526 493.51610184   8.43860038],[210.94844341 596.81648254  14.82720684],[223.00428629 646.40029907  21.15302145],[233.92843544 682.27844238  26.05601639],[266.23467743 499.22927856   6.73921661],[282.42251158 623.60321045   4.65683101],[294.03521061 693.6372757    3.78699515],[302.34167933 744.0379715    5.11890505],[323.90934348 487.45250702   7.632959  ],[340.52411556 598.45813751   6.34183193],[346.69169426 662.85043716   4.52347325],[349.69160557 710.47920227   4.96928958],[370.4558301  461.22104645  11.30217668],[385.12425184 550.6319046   17.89828554],[388.88666153 598.96734238  24.94198501],[387.07137465 639.26971436  31.06224351]
3,True,[2.83077700e+02 2.72981014e+02 3.85178676e-04],[174.83249366 330.35333633   8.67043074],[127.16983527 406.77666664  20.26585467],[140.39532781 498.29486847  33.66586648],[164.22818184 559.40769196  47.98546493],[200.13326168 494.59207535  14.14181124],[211.09431267 596.91375732  22.27792583],[223.16716611 646.46850586  28.65529619],[234.48923707 682.65346527  33.17610048],[266.39985859 500.81926346  13.18174403],[281.14815116 624.06703949  13.7694566 ],[293.11100721 693.17825317  12.80856963],[302.78224826 744.02732849  13.66241734],[323.61725092 488.88977051  14.00114011],[339.48194861 598.85232925  13.83926108],[346.0963726  663.12372208  11.46892894],[350.4150939  711.15840912  11.17333207],[370.71718454 462.36631393  17.21967526],[385.45812249 550.36193848  23.97081144],[388.89577031 598.55066299  30.37821382],[387.32992887 639.05090332  35.80739379]
4,True,[2.80745755e+02 2.75419636e+02 3.63044834e-04],[173.11281681 333.59172821  10.89654218],[127.11061209 409.42234039  21.92504905],[140.01356363 499.46016312  34.34001088],[164.47572827 558.80098343  47.52326667],[199.79813576 495.65803528  10.04718751],[212.12418437 599.6361351   15.38099382],[224.10195887 647.94725418  20.93053222],[234.06414986 682.11959839  25.42607613],[267.17169106 501.31668091   7.65034273],[283.26756835 625.00551224   5.21454876],[294.45798039 693.9941597    4.51036781],[302.13620067 743.61385345   6.01901533],[324.8871696  489.20637131   7.54607856],[341.52157545 599.55797195   5.57987921],[346.85217619 663.74513626   4.0597753 ],[348.95414829 711.40148163   4.82848316],[371.5529716  462.21545219  10.0821672 ],[386.86985493 550.9982872   16.08445812],[390.25684118 599.03205872  23.2949169 ],[388.05361032 638.68051529  29.61608358]
5,True,[2.83428533e+02 2.74217091e+02 3.82156095e-04],[175.30383289 331.72439575   4.98154107],[129.10594225 409.29368019  14.58737511],[142.23485112 501.35793686  26.08817071],[167.75060892 561.88842773  38.25181425],[201.78465486 495.26247025  10.67640658],[213.36291432 596.6191864   15.45077819],[225.23212373 646.26113892  18.37639399],[235.97532034 683.14842224  20.52582711],[268.07733893 501.86067581  10.21403231],[282.93157339 623.6844635    9.70969487],[294.52994943 693.30104828   6.89947022],[303.71070027 744.37202454   5.88394314],[325.08141518 490.20572662  10.99608801],[341.2201488  598.84414673  10.04144222],[347.64892101 663.23221207   5.79470957],[351.65713906 711.25871658   3.65681908],[371.94284678 464.00147438  13.67477696],[386.37778759 551.05653763  18.65214787],[390.02957225 599.10037994  23.27460922],[388.72933388 639.36950684  27.17338912]
6,True,[2.82799222e+02 2.74987736e+02 3.77288196e-04],[175.59130669 331.63370132   6.22739078],[128.72704268 408.15988541  14.42610461],[140.89246452 499.20541763  24.20526601],[165.45741677 559.53300476  34.28070724],[200.87110519 493.10691833   4.99875683],[212.81759441 597.20998764   6.17765207],[225.00982761 647.72060394   8.10934648],[235.5595994  684.32561874  10.24150752],[268.20602059 499.61191177   2.73737325],[284.38662887 623.54450226  -1.89156173],[296.55438423 694.25760269  -4.74160323],[305.22755384 744.70693588  -4.87065051],[325.89811563 488.29696655   2.11340938],[342.98271418 599.71715927  -2.18916963],[349.41995144 664.84531403  -5.64906059],[352.76921511 713.03398132  -6.22896843],[372.96811581 462.12558746   3.64609368],[387.55652189 551.5171051    6.20650426],[391.28304362 600.11512756  11.25857804],[389.63869929 640.17402649  16.30387858]
7,True,[2.84293610e+02 2.75062580e+02 3.90399633e-04],[177.04856694 331.79660797   4.88002332],[129.92676258 407.97185898  12.36176558],[141.64916933 499.06757355  21.67667583],[166.02985382 560.1609993   31.31879412],[201.82910442 493.20293427   3.66077425],[213.38784277 597.16072083   4.81610645],[225.52749932 647.58235931   6.68009704],[236.47960246 684.43090439   8.69388867],[268.93745899 499.86236572   2.06735388],[284.81873274 623.94435883  -2.56113779],[296.66565299 694.702034    -5.73499806],[305.22919536 745.13660431  -6.25050774],[326.73358083 488.45146179   2.06644939],[343.62560749 599.73558426  -2.22075616],[349.99505997 665.05960464  -6.02264034],[353.30238461 713.24752808  -7.0266708 ],[373.87381196 462.52953529   4.134663  ],[387.94996977 551.81316376   6.30770518],[391.70526624 600.54073334  10.90640936],[390.23328066 640.91440201  15.56197453]
8,True,[2.85107800e+02 2.76164246e+02 3.84495119e-04],[177.65336752 332.61354446   6.62557511],[130.90643138 407.97672272  15.40840868],[143.37890446 499.01058197  25.91437563],[166.76433384 560.24871826  36.94985792],[202.96313167 494.61004257   6.76307034],[214.57377076 598.88786316   9.73383978],[226.3386637 648.0711937  12.9489189],[236.52027011 683.5370636   15.88683899],[269.9892658  501.15045547   5.341863  ],[285.82394958 625.09700775   1.78964001],[ 2.97518209e+02  6.95117512e+02 -5.47550654e-01],[ 3.05950012e+02  7.45456924e+02 -3.56765598e-01],[327.68971324 489.3227005    5.65889306],[344.30306911 600.20782471   2.26404324],[350.29120803 664.99391556  -0.76909064],[353.21815252 712.97813416  -1.07472524],[374.7113049  462.96898842   8.22205659],[388.88865709 551.92131042  12.05000605],[392.35536933 600.23368835  17.66944952],[390.54066181 640.16550064  22.97499306]
9,True,[2.86937828e+02 2.75452909e+02 3.88472235e-04],[179.26950037 330.66244125   5.92290893],[131.19950563 407.2928524   15.18002126],[143.4324789  499.63354111  26.19947165],[168.18251967 560.60371399  38.00143138],[204.11481321 497.00283051  10.39447188],[214.11034942 601.15264893  15.38594753],[225.97463429 650.1084137   19.74170543],[236.45512462 684.79694366  23.20218153],[270.93530774 502.88160324   9.2187601 ],[285.31343937 626.33268356   7.66808756],[297.11565256 695.23332596   6.09039947],[306.38102174 744.627285     6.71023518],[328.03649068 490.2856636    9.37784895],[344.14718986 600.86111069   7.00406481],[349.88868356 664.92725372   4.18231311],[353.32713604 712.45250702   3.89396223],[374.48532343 463.13944817  11.6321427 ],[389.69978929 552.45082855  16.1384359 ],[393.11255693 600.75674057  21.85377404],[391.20618224 640.44805527  27.08377786]
