,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
max_angles,[43.53359511190847],"[20.758634424272252, 42.16625857086468]","[29.03856665361836, 42.121099889064176]","[47.61692357375211, 45.666699860875674]","[101.58705048806533, 118.06420650994218]","[3.636202467194931, 52.80369227980971, 8.427214290530753, 16.61198375181186, 11.885271709036832]","[60.3856801370991, 44.88537527933234]","[101.78257248119591, 131.21337461847082]","[60.94638705807433, 3.4811894065499556, 38.825594388458946]","[17.50110262440891, 64.5281886609894, 6.051659292181975, 37.97799896784318, 6.447231926411879]","[100.6586986384027, 147.98406843542858]","[63.62874508125777, 4.385971274644741, 3.034263802014558, 39.22786808223113]","[23.949930027496272, 70.61096603109544, 16.777618037601346]","[90.3155726595244, 171.40913169648027]","[65.15114592487883, 32.34895478052543]"
min_angles,"[30.11231631773673, 22.428997663118796]","[12.346910943239033, 6.325858000903616, 7.9365081931825925]","[3.477618478876942, 3.312038868630806, 9.646936951956217]","[16.442607191356686, 14.51631182692429, 12.913849950466131]","[5.529014619596072, 9.186630149053295, 12.869792446554264]","[2.996805628166941, 2.005327869552663, 4.661306223534605, 6.123497247400063, 9.269067296761461, 5.633312975083912]","[5.594124141240635, 7.506622435839983, 8.43157777675679]","[2.3093596035410586, 6.348042562805764, 8.145816290318878]","[1.6569635203032607, 2.766284182586409, 1.7313437021921019, 2.197443227676494]","[3.4992743620418625, 13.054360637763422, 3.1576792076051534, 3.8453281262664762, 5.091077762555946]","[3.458631367485126, 1.1345605735698256, 2.181552329074029]","[2.4085976962055904, 2.7322105555077565, 2.390240243029533, 1.479440577274278, 1.0380220581146407]","[16.211470080509645, 18.116559679980245, 6.311677876969008, 3.5834991641442557]","[4.752153649262471, 6.2550458557436475, 6.133528770217993]","[6.645943675385694, 1.8109962424544541, 0.7703065890997904]"
max_times,[132],[256 420],[193 433],[149 433],[200 435],[ 69 185 335 414 437],[199 433],[138 418],[173 320 426],[ 92 176 320 433 485],[195 418],[165 296 353 415],[ 77 174 438],[195 418],[178 415]
min_times,[ 38 471],[104 373 471],[ 98 343 467],[ 81 379 484],[ 67 349 468],[ 33 100 237 372 433 470],[ 65 382 471],[ 33 353 468],[ 65 290 357 485],[ 45 103 289 354 469],[ 53 353 485],[ 51 234 338 383 485],[ 32 102 373 475],[ 64 384 471],[ 93 383 485]
