,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
max_angles,"[46.6, 40.2, 34.2, 32.8]","[24.5, 19.1, 23.5, 22.0, 20.4]","[16.6, 21.2, 15.7, 14.6, 28.0, 17.4, 26.9]","[58.3, 63.2, 61.1, 53.2, 48.7]","[118.1, 98.6, 132.9, 133.1, 134.4]","[37.3, 47.0, 45.8, 46.8, 39.8, 52.9, 40.9, 52.0]","[65.7, 76.1, 74.1, 35.2, 29.8]","[134.8, 86.8, 137.4, 146.3, 148.1]","[52.5, 56.7, 57.9, 27.7, 28.7, 21.7]","[70.2, 78.9, 77.7, 24.9, 22.6]","[146.1, 82.3, 131.4, 138.8, 139.4]","[53.6, 58.6, 59.5, 19.8, 24.1, 18.6]","[68.7, 77.4, 77.1, 39.1, 45.9]","[148.0, 75.0, 130.6, 132.7, 130.7]","[55.8, 61.8, 61.7, 15.5, 19.8, 16.0, 19.8]"
min_angles,"[23.4, 28.7, 22.6, 24.4]","[2.2, 11.3, 15.8, 3.3, 2.8]","[11.3, 13.3, 10.6, 11.0, 11.4, 11.4, 6.7]","[7.8, 26.3, 37.2, 3.6, 3.3]","[5.1, 5.7, 50.5, 1.2, 1.3]","[2.4, 23.5, 7.0, 31.8, 28.4, 2.2, 33.7, 2.5, 34.2]","[4.7, 12.1, 45.3, 4.3, 6.8]","[5.3, 5.5, 54.7, 1.6, 1.6]","[1.7, 5.1, 30.7, 2.7, 20.1, 2.6, 18.2]","[5.9, 6.4, 49.8, 5.5, 6.8]","[4.3, 4.0, 55.4, 2.9, 3.2]","[4.1, 6.6, 29.8, 4.6, 16.3, 4.4]","[8.0, 9.7, 54.9, 8.9, 7.8]","[4.4, 6.2, 44.8, 4.1, 4.8]","[6.8, 5.5, 29.8, 11.5, 7.0, 11.5, 7.0, 12.4]"
max_times,[ 88 214  68 365],[ 88 191 325 427 356],[ 79 115  68  42 327 419 347],[129 213 203 437  84],[ 86 214 352 437 507],[ 78 115 215 305 356 421 442 499],[129 214 302 359 507],[ 85 214 333 425 507],[115 214 306 421 340 413],[115 214 303 439 429],[ 83 214 334 425  79],[115 214 306 421  26 418],[129 201 207 439 507],[ 83 214 333 438 507],[115 214 306 331 419 442 419]
min_times,[ 49 170 389 379],[ 49  40  70 387  47],[ 55  49 173 177 171 171 447],[ 49 168 282 391 470],[ 47 166 282 387 386],[ 53  86 166 282 352 387 437  49 434],[ 49 166 282 388 379],[ 47  51 282 394 394],[ 53 166 282 387 431 474  63],[ 48 166 282 384  44],[ 46 166 282 395 391],[ 49 166 282 395 177 474],[ 50 167 282 394 472],[ 53  44 282 386  47],[ 46 166 282 335  45 335  45 368]
