,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
477,True,[2.09108469e+02 4.08411789e+02 2.97022515e-05],[149.8421216  389.18758392  12.69598156],[105.61077833 345.13374329   7.35933848],[ 83.56775165 297.20623016   1.1998018 ],[ 81.4669919  254.82755661  -1.81939837],[115.83332062 308.64070892 -36.43169671],[ 97.81280279 226.31534576 -48.15817237],[100.78593493 200.86580276 -35.8484745 ],[110.1271677  210.39716721 -18.74291852],[155.37206411 299.63500977 -46.9846952 ],[138.0119276  207.83622742 -59.4865036 ],[138.08342457 190.84058762 -39.7160992 ],[141.43686175 204.77552414 -16.88823804],[197.86037922 296.38214111 -53.58852446],[184.11118269 213.4498024  -60.70983768],[176.73905611 202.48558044 -31.71141118],[172.8194046  216.85932159  -4.08163045],[239.19377804 299.7772789  -58.22618723],[221.77079201 228.94737244 -59.06379819],[207.81274796 215.98937988 -36.20369554],[198.76707315 224.98296738 -11.98841885]
478,True,[ 2.05236669e+02  4.10618477e+02 -2.11746110e-04],[147.46199369 389.92652893  10.99617586],[102.19780684 344.00878906   6.83748923],[ 79.76824164 296.00791931   1.76286142],[8.35853148e+01 2.54577293e+02 3.12555511e-02],[114.67052937 308.98853302 -34.13215309],[ 95.3939116  220.56587219 -45.05286634],[ 99.2867732  215.02389908 -34.61621135],[107.47864723 238.4303093  -21.34151235],[154.72506166 300.37715912 -45.0237751 ],[135.75358272 205.24208069 -59.092471  ],[137.68297076 215.16376495 -44.54930574],[141.15295529 240.99456787 -28.67465168],[196.31021261 296.58777237 -52.3059243 ],[180.96834183 214.21554565 -60.06739497],[176.18566275 229.35131073 -37.72392064],[176.25563622 253.79560471 -18.54041308],[237.28895903 299.94779587 -57.71634758],[218.70773077 230.39007187 -57.09724545],[207.50491619 239.08872604 -37.54405975],[205.12296438 261.64165497 -20.33285424]
479,True,[ 2.04319053e+02  4.12639923e+02 -2.93667385e-04],[146.08358502 391.64409637  10.79648942],[100.22307873 344.19467926   7.29048148],[ 77.58230031 294.54784393   3.2784386 ],[ 82.49137044 253.18706512   2.7870911 ],[109.50524926 311.37983322 -34.28366303],[ 94.16184425 223.36105347 -44.47222978],[100.2955842  224.01111603 -32.75688797],[108.4550786  249.16843414 -19.0553838 ],[150.8166647  302.17727661 -44.72561538],[134.73569512 207.77645111 -57.82956898],[138.45165968 223.81847382 -42.12260127],[142.52149343 250.95560074 -25.9219408 ],[193.03487062 297.32429504 -51.5807569 ],[179.0692091  215.41965485 -59.11552191],[177.16502309 235.73791504 -36.24949962],[179.13654327 261.581707   -17.18848854],[233.79781723 299.14094925 -56.52580082],[215.5655551  232.51346588 -56.760934  ],[207.33458519 245.91371536 -37.89381176],[207.35443354 269.45432663 -21.49136335]
480,True,[ 2.01653237e+02  4.09267387e+02 -2.01810219e-04],[147.06402898 389.44023132  10.47281049],[100.58785915 344.93339539   7.48852842],[ 77.80173719 300.25445938   3.51159967],[ 85.12531579 262.99114227   2.33250981],[109.61971521 311.75256729 -28.17768663],[ 94.12843466 231.24080658 -37.75799811],[ 95.2133131  223.26690674 -28.41719717],[ 99.84968305 245.89294434 -16.19346812],[148.7131691  302.91040421 -38.19674045],[133.93996954 216.6217804  -48.78933907],[133.6759007  225.53688049 -35.61219603],[134.21280384 251.16556168 -21.408066  ],[190.13115406 298.19623947 -45.00290751],[178.03097963 224.62396622 -51.06468916],[174.75090623 241.36827469 -31.69848561],[175.60694933 266.42625809 -15.15589312],[229.95397568 299.90947723 -49.96555746],[213.35977077 240.11436462 -50.06928921],[205.31436682 252.15774536 -33.04071397],[205.63060999 274.97846603 -17.59318829]
481,True,[ 2.03254495e+02  4.12421646e+02 -2.91507470e-04],[147.10182667 392.72953033  10.30921519],[101.92981124 346.29898071   7.45070122],[ 79.44928944 299.57839966   4.09853239],[ 85.73932707 260.94032288   3.50939825],[108.33064556 312.76863098 -31.03624016],[ 95.62334776 229.5656395  -40.86087674],[ 98.53291154 226.73791885 -30.7128033 ],[103.29163313 250.94139099 -18.12597826],[148.89569879 304.55972672 -40.40026098],[137.33542085 218.22185516 -50.10311723],[140.23304343 234.48507309 -35.26202291],[142.26325035 261.5039444  -20.64951047],[191.22665405 300.26727676 -46.51711106],[178.86001825 225.91379166 -51.88407719],[177.00002432 245.43355942 -31.78262115],[178.78323197 270.41837692 -15.72461396],[230.7101655  301.12672806 -50.7195586 ],[211.88208818 241.56070709 -51.47407472],[205.30228615 256.5341568  -35.1139757 ],[206.77627802 279.79211807 -20.75809166]
482,True,[ 2.03628330e+02  4.07277031e+02 -2.12044818e-04],[148.48301411 390.64285278   8.37451637],[102.76386023 346.19739532   5.76992311],[ 82.0692873  300.45763016   3.04389887],[ 86.38376534 262.76256561   2.88519692],[112.1848619  314.65116501 -28.46944124],[100.49611688 236.01224899 -39.00737911],[ 96.60042286 226.8154335  -31.03985846],[ 97.51758814 246.72153473 -20.04166022],[151.84455156 305.31745911 -37.22813576],[139.37934995 222.34226227 -48.12754691],[138.76909375 234.58885193 -34.99359012],[139.50061798 261.1769104  -20.93899459],[193.03778887 299.85992432 -43.25689673],[180.00411987 229.9148941  -49.70199287],[177.70901799 247.7743721  -30.68425119],[178.99304509 272.51815796 -14.76686016],[231.52605057 299.88378525 -47.63070524],[212.37542152 243.61316681 -49.74814832],[207.49693394 257.78184891 -34.31763858],[210.00061512 280.07381439 -20.17679259]
483,True,[ 2.02963572e+02  4.06998749e+02 -2.00146424e-04],[149.86648679 390.94791412   6.62570201],[105.10406613 346.62731171   3.2902202 ],[8.36767030e+01 3.01128006e+02 4.43547528e-02],[ 88.68033707 264.33240891  -0.68744644],[114.64147568 315.33521652 -27.67263204],[104.50281143 238.80496979 -39.02816892],[ 99.18349743 229.26532745 -32.73853093],[ 98.17449331 248.41367722 -23.08578372],[153.5946393  306.42673492 -35.55335373],[141.04560256 225.94776154 -46.89122558],[139.78061914 239.07945633 -34.59134459],[140.26647449 265.92132568 -21.13473415],[194.30428505 301.05209351 -41.05504721],[180.6966877  229.82446671 -48.60249639],[177.58029342 248.72703552 -30.21717668],[178.5959816  274.2263031  -14.47647348],[231.8268013  301.17734909 -45.08967161],[213.17289591 246.85926437 -48.85919452],[208.00998688 261.53175354 -34.75218326],[210.82866669 283.4046936  -21.23390347]
484,True,[ 2.07148054e+02  4.10914421e+02 -2.33515730e-04],[152.66862273 394.34246063  10.02803922],[108.42464089 350.10135651   8.41586664],[ 88.01918328 303.76268387   6.24101155],[ 93.44991088 267.49256134   6.4448373 ],[115.66282868 319.02774811 -23.49883586],[107.68685102 242.90655136 -30.85605741],[107.25625992 235.30391693 -21.65156633],[109.26886082 253.87802124 -10.64659014],[154.62167859 309.50004578 -32.11035758],[144.06820536 230.28343201 -38.07405621],[144.51804399 242.05497742 -24.72518474],[145.14336348 265.89193344 -12.06611708],[194.73393202 303.92848969 -37.87783921],[182.18941212 235.89466095 -40.44559836],[180.19438505 252.46656418 -22.847794  ],[181.60962582 274.89364624  -9.36467864],[231.48159027 303.60183716 -41.98701024],[212.54472256 251.69176102 -41.74813807],[207.92984247 265.02281189 -27.96513498],[210.60108662 284.17491913 -15.96103325]
485,True,[ 2.07578495e+02  4.13405304e+02 -2.78850243e-04],[152.11699963 396.68701172   8.8909851 ],[108.21949482 351.83696747   6.8323072 ],[ 88.00961852 304.45896149   4.61545341],[ 92.57342935 267.21891403   5.23193635],[114.24545288 320.84564209 -23.45303178],[109.95171905 244.19092178 -30.08832872],[112.39211082 246.22297287 -20.81482172],[114.77259278 269.07588959 -10.26978537],[154.34470296 310.6470871  -31.41066849],[144.762007   233.39954376 -35.69478124],[146.49788976 248.17241669 -22.77193308],[148.03664088 272.55561829 -11.49605915],[194.59598064 304.76461411 -36.62505984],[181.69485569 238.23467255 -37.88806647],[180.968256   256.38744354 -20.72485641],[182.76660204 278.93451691  -8.53475958],[231.25521183 304.07091141 -40.24959326],[211.75413609 253.83419037 -39.14777398],[208.75885963 269.28247452 -25.23120224],[212.32782841 288.84122849 -13.79032552]
486,True,[ 2.07972500e+02  4.16008186e+02 -3.17322811e-04],[151.85825229 398.65783691   8.19324329],[108.28082085 353.4331131    6.19408093],[ 88.26185346 306.36680603   4.14789073],[ 92.54659653 269.91838455   5.19457251],[113.02355647 322.18704224 -22.05952629],[110.23918748 246.4991951  -28.99443537],[116.65037513 256.21446609 -21.23275146],[119.55176353 281.69778824 -12.08227471],[153.51832509 311.6383934  -29.90762025],[144.83036041 235.55337906 -33.8864091 ],[149.34622407 253.28708649 -22.32996002],[151.48699164 279.10167694 -12.3579897 ],[193.8071537  305.8146286  -35.20262808],[181.79298162 240.60167313 -36.30334228],[183.11616898 260.18848419 -20.10375336],[184.79454517 283.09808731  -8.86871338],[230.28815746 305.23687363 -38.98399293],[210.83609104 256.76239014 -37.90705651],[209.48627472 273.66044998 -24.28357244],[213.22093964 292.97161102 -13.2764183 ]
