,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_45,23.1,1.6,15.4,6.8,5.5,1.9,4.6,6.0,1.3,5.4,6.1,3.9,7.1,3.9,6.9
angles for frame_46,23.1,1.0,14.0,6.6,5.6,1.9,4.8,6.2,1.1,6.0,5.9,3.9,7.3,3.8,7.0
angles for frame_47,23.2,0.5,14.5,6.4,5.5,2.0,4.4,6.1,1.4,6.4,6.0,4.1,7.6,3.2,7.3
angles for frame_48,22.4,0.4,12.3,7.4,5.7,2.2,4.7,5.9,1.6,6.6,5.7,4.5,7.5,3.7,7.7
angles for frame_49,22.4,1.7,10.6,8.1,5.7,2.4,4.7,6.0,1.8,7.3,5.4,4.5,7.8,4.0,7.5
angles for frame_50,25.6,6.3,4.0,9.5,4.6,2.8,5.5,5.1,2.6,7.8,3.5,4.5,10.1,4.3,7.3
angles for frame_51,27.3,6.6,3.8,11.9,4.5,3.1,6.3,4.7,3.1,7.8,2.6,4.9,12.5,5.0,7.5
angles for frame_52,29.1,9.7,3.4,14.7,5.7,3.0,8.2,6.4,2.8,8.5,3.6,5.1,16.3,3.6,7.6
angles for frame_53,30.1,12.0,0.4,16.0,8.6,3.0,9.6,9.6,2.3,9.7,5.3,5.1,18.9,2.5,8.1
angles for frame_54,32.8,20.2,5.6,23.8,18.4,5.8,18.1,23.7,27.9,19.9,22.9,42.2,27.3,15.0,28.8
angles for frame_55,35.9,21.0,5.1,27.9,22.0,46.9,23.5,38.5,72.8,23.1,39.0,82.2,30.1,38.3,82.3
angles for frame_56,37.3,19.7,16.4,29.5,25.6,84.8,24.5,61.4,77.4,21.6,57.7,87.7,26.6,63.8,83.1
angles for frame_57,40.9,18.9,15.5,29.4,24.9,90.1,25.3,84.5,60.5,22.7,95.0,57.8,28.0,100.1,51.0
angles for frame_58,43.4,17.0,19.9,28.8,48.5,81.3,27.0,116.5,32.9,25.3,132.1,25.2,31.0,125.8,26.8
angles for frame_59,41.4,16.9,22.8,30.4,86.5,52.0,30.8,126.6,29.6,29.2,142.7,20.7,33.1,137.1,19.2
angles for frame_60,39.9,15.5,32.2,32.8,93.2,48.0,32.3,133.0,31.0,31.2,152.3,19.4,33.0,148.7,17.1
angles for frame_61,37.4,17.3,32.8,34.9,109.4,31.4,33.4,133.0,25.7,31.9,150.6,17.6,31.0,151.0,15.4
angles for frame_62,39.5,24.7,23.3,42.1,109.7,30.5,37.8,130.1,25.5,36.8,145.6,19.6,34.8,142.9,18.8
angles for frame_63,39.4,23.4,23.0,42.1,105.5,31.7,39.6,125.9,28.5,39.4,141.1,21.5,38.5,137.0,20.0
angles for frame_64,39.6,23.0,20.5,44.4,97.5,33.7,41.9,123.9,30.1,41.4,141.0,22.3,39.8,137.6,21.1
