,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
max_angles,[27.1],"[67.5, 70.2]","[53.8, 43.4, 12.3]","[29.2, 29.5]","[141.6, 140.1]","[22.2, 13.9, 22.5, 13.1]","[21.3, 21.4]","[152.0, 150.6]","[28.3, 25.2, 23.4, 19.7]","[24.8, 23.6]","[156.4, 157.4]","[36.3, 35.2, 30.9, 31.8]","[39.9, 38.8]","[143.4, 144.8]","[39.3, 34.0, 33.3]"
min_angles,"[21.2, 21.9]","[6.8, 1.6, 4.1]","[9.4, 10.4, 9.9]","[14.0, 12.1, 11.1]","[7.9, 7.2, 7.8]","[1.7, 6.3, 1.4, 5.3, 2.6]","[7.2, 5.3, 5.5]","[8.2, 7.2, 9.2]","[3.0, 19.9, 0.7, 13.7, 0.9]","[11.5, 10.2, 10.5]","[11.4, 8.4, 8.9]","[8.5, 29.0, 4.3, 23.6, 4.8]","[15.2, 15.2, 15.5]","[7.6, 3.1, 3.9]","[11.4, 7.7, 26.3, 8.3]"
max_times,[198],"[73, 189]","[73, 176, 236]","[80, 195]","[72, 190]","[59, 82, 166, 197]","[80, 195]","[71, 184]","[59, 82, 172, 197]","[76, 188]","[71, 180]","[58, 83, 171, 199]","[74, 187]","[68, 180]","[58, 171, 199]"
min_times,"[143, 233]","[29, 126, 236]","[29, 107, 224]","[29, 114, 231]","[29, 130, 236]","[29, 73, 129, 184, 228]","[29, 130, 236]","[29, 130, 233]","[29, 66, 123, 183, 236]","[29, 129, 236]","[29, 115, 231]","[29, 65, 118, 178, 233]","[29, 116, 230]","[29, 127, 236]","[29, 116, 178, 232]"
