,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_139,20.2,14.3,29.2,11.0,14.0,6.1,9.3,13.5,0.9,12.3,16.6,9.1,14.2,7.1,12.7
angles for frame_140,20.0,13.4,33.1,10.1,17.3,6.3,9.4,18.0,2.7,11.9,21.4,12.3,15.3,6.2,14.7
angles for frame_141,21.3,17.2,36.5,12.2,18.3,5.1,13.2,17.6,4.3,15.3,23.8,22.1,19.0,10.9,21.7
angles for frame_142,21.6,21.9,36.4,13.4,19.3,3.6,14.2,19.3,8.8,18.6,26.0,36.0,22.5,20.5,32.5
angles for frame_143,22.7,25.8,40.7,20.1,26.0,19.8,17.7,37.5,44.4,19.6,39.7,74.4,23.4,27.0,65.0
angles for frame_144,23.0,28.9,37.8,24.7,24.7,55.0,16.5,34.7,79.5,14.4,47.4,87.6,16.3,36.6,87.5
angles for frame_145,24.1,35.9,39.1,29.4,36.0,70.9,19.5,56.5,76.4,18.2,63.2,76.7,17.3,52.5,80.7
angles for frame_146,27.3,38.0,39.1,29.1,44.2,80.0,20.1,74.1,65.3,17.4,81.1,64.6,18.6,64.2,73.7
angles for frame_147,26.2,37.9,42.7,27.0,52.6,78.2,18.5,88.6,56.3,15.1,105.6,47.8,17.0,82.0,63.7
angles for frame_148,27.6,40.8,42.6,26.0,62.3,72.1,18.3,105.0,44.5,14.8,122.1,35.3,18.2,100.0,49.8
angles for frame_149,25.7,44.4,41.4,24.7,88.7,52.0,18.3,131.3,23.6,16.0,143.5,20.9,18.7,132.3,29.6
angles for frame_150,26.6,46.6,42.4,23.8,92.4,51.4,18.1,138.4,20.5,16.4,148.9,18.0,20.1,135.2,24.6
angles for frame_151,24.7,46.0,43.7,24.2,103.2,40.7,18.6,145.8,15.2,17.5,155.7,13.9,22.4,143.2,19.1
angles for frame_152,24.4,49.8,38.9,24.3,114.7,30.9,16.7,145.0,14.6,16.7,155.3,14.6,24.9,146.5,19.6
angles for frame_153,26.7,53.0,48.8,21.7,132.8,13.1,16.2,148.8,12.5,16.9,158.8,14.9,25.9,149.3,19.1
angles for frame_154,28.2,55.3,47.4,22.3,137.7,7.6,16.4,150.3,11.6,18.2,157.8,15.7,27.8,148.3,19.3
angles for frame_155,27.4,58.5,48.9,22.1,142.0,2.9,15.1,154.2,9.0,17.4,160.3,13.4,28.6,149.6,17.1
angles for frame_156,25.7,61.8,44.1,26.0,137.2,2.7,18.4,151.0,10.1,20.4,158.3,16.2,33.5,147.1,19.7
angles for frame_157,25.5,67.2,41.8,26.9,138.5,0.7,18.6,151.7,10.5,20.2,159.6,16.5,32.5,148.7,19.5
angles for frame_158,25.5,69.8,39.3,25.2,140.3,2.5,17.1,153.3,10.6,19.1,161.8,19.0,34.5,146.8,22.9
angles for frame_159,25.9,69.7,44.5,26.7,141.1,4.6,18.1,153.8,9.9,19.9,161.2,19.9,36.6,145.3,23.9
angles for frame_160,22.1,68.4,44.9,26.1,139.4,8.3,18.8,151.1,15.3,21.3,158.0,24.5,34.5,145.8,25.2
angles for frame_161,20.7,67.9,46.8,27.4,139.6,6.8,20.5,149.7,12.1,22.2,158.2,24.3,34.6,147.2,24.1
angles for frame_162,25.3,66.5,44.4,28.8,141.1,5.7,19.6,152.5,13.2,21.0,159.9,25.8,34.8,147.2,26.8
angles for frame_163,25.1,67.3,46.9,28.2,141.7,8.2,19.4,153.0,16.2,21.5,160.0,29.0,36.9,145.6,29.1
angles for frame_164,23.7,72.2,47.3,27.0,140.9,8.9,21.5,150.5,17.2,22.9,158.8,30.0,38.3,142.9,29.7
angles for frame_165,26.0,65.7,41.5,28.2,140.3,5.6,20.6,150.2,14.9,24.3,156.0,27.1,38.8,143.4,29.8
angles for frame_166,24.0,70.8,52.0,25.6,142.5,11.4,19.7,152.4,20.6,22.3,158.3,31.0,40.8,139.8,32.8
angles for frame_167,28.0,67.2,41.7,30.3,140.3,2.4,21.4,151.1,14.1,23.7,157.5,27.0,36.2,146.5,27.6
angles for frame_168,27.3,68.1,39.4,28.5,140.4,3.5,20.0,151.7,12.5,23.3,157.3,25.9,38.6,144.8,27.7
angles for frame_169,28.4,67.2,39.6,29.2,142.8,1.2,19.4,154.1,13.7,21.2,159.9,27.5,36.1,147.7,27.0
angles for frame_170,29.3,66.0,31.1,31.2,139.9,1.4,20.8,151.9,11.0,22.6,158.4,24.2,36.6,148.7,25.1
angles for frame_171,28.5,68.2,38.6,30.5,141.3,1.6,21.2,151.7,13.6,23.1,157.8,26.7,36.5,147.4,28.1
angles for frame_172,28.9,67.6,37.5,30.6,140.0,3.8,21.9,149.6,14.1,24.5,155.8,25.8,38.3,145.2,28.3
angles for frame_173,28.1,71.9,46.7,25.7,142.0,9.5,20.2,151.3,17.8,23.9,156.1,30.3,41.6,139.9,33.3
angles for frame_174,25.5,74.9,48.7,27.1,140.6,9.3,22.2,148.8,18.1,24.8,156.0,30.4,43.8,138.6,34.9
angles for frame_175,25.2,74.4,46.1,28.4,139.6,9.1,22.9,147.8,16.7,25.8,154.0,29.3,44.4,137.5,33.3
angles for frame_176,25.4,74.7,41.9,28.6,140.3,7.8,22.6,148.5,15.7,26.5,154.1,29.9,43.1,140.3,32.5
angles for frame_177,26.2,70.4,29.6,31.9,137.5,4.7,23.8,147.2,13.0,27.9,153.6,28.4,42.1,144.1,29.7
angles for frame_178,27.8,72.2,36.8,31.7,138.4,3.8,23.0,148.7,12.0,25.5,155.3,27.6,40.4,143.9,29.7
angles for frame_179,26.5,71.7,32.2,31.5,137.8,5.6,22.7,148.1,14.0,26.7,154.6,29.6,42.8,143.1,31.7
angles for frame_180,25.4,75.1,46.0,28.3,140.9,7.1,22.4,148.8,15.8,24.9,154.8,29.7,42.7,139.9,33.4
