,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
218,True,[2.81466959e+02 6.65362129e+02 6.49938563e-04],[362.89608836 609.37614441 -26.20187357],[411.38409734 539.07016754 -32.85108514],[452.59837389 473.168993   -41.07760459],[492.17097759 434.44988251 -49.71272171],[312.37231493 446.91624641  13.40297498],[334.52184677 372.5418663    6.17566405],[347.635113   324.35474396  -5.64270627],[355.95371604 288.13739777 -15.41134067],[255.88360906 446.02412224  11.26349755],[249.41460371 356.31156921   8.2720005 ],[245.30577064 304.16788101  -2.26606496],[242.11657047 258.46635818 -11.03951868],[206.22742295 462.31796265   2.45048761],[185.04860401 382.10317612  -9.64978371],[174.31392074 331.5491581  -25.56889571],[168.75315428 288.02650452 -36.96205661],[159.99172926 497.32091904  -9.74037264],[109.80527043 454.12053108 -27.0075763 ],[ 78.02416742 422.43701935 -37.1672979 ],[ 54.01393354 390.13215065 -43.26747403]
219,True,[2.82203901e+02 6.65586548e+02 6.46340688e-04],[363.51802826 608.72440338 -25.41536205],[411.88298821 539.0247345  -31.43835895],[452.11715341 473.1754303  -39.05629188],[491.51405096 435.02346039 -47.10187688],[312.68410563 448.03891182  14.8798006 ],[334.31176543 373.19646835   8.58647425],[347.48956561 324.82881546  -2.21790363],[356.1172235  289.00463104 -11.22012019],[256.46546066 446.6737175   12.74242435],[250.1694417  357.09857941  10.43947667],[246.0139221  304.85718727   0.72046601],[242.82443225 259.02603149  -7.36771502],[206.78630948 462.4649334    3.83153147],[185.5441153  381.99814796  -8.52284051],[174.45798755 330.42140007 -25.34401864],[168.48439693 286.59593582 -37.22323403],[160.0140667  496.93021774  -8.2360894 ],[107.87702501 454.62907791 -26.24341026],[ 73.91700804 424.03438568 -37.3428914 ],[ 47.76571155 392.80062675 -44.04037267]
220,True,[2.82456855e+02 6.61996994e+02 6.40141313e-04],[364.80896473 606.12939835 -24.05637123],[412.56160855 538.04992676 -28.99229899],[451.77536488 474.16053772 -35.7672371 ],[490.13144732 436.70396805 -43.07253644],[313.36378813 448.1375885   16.70445476],[335.0852716  373.35691452  11.60166308],[348.42081785 324.33271408   1.64319354],[357.25672245 288.69149208  -6.7361247 ],[256.40981019 446.34418488  14.52726278],[249.86571372 356.5791893   13.49125754],[245.61559796 303.9435482    4.56533633],[242.69623339 258.36198807  -3.01021703],[206.6681689  461.38589859   5.68919767],[185.4556185  381.25362396  -5.2313979 ],[174.53227401 329.56203461 -21.71021618],[168.96719456 286.08392715 -33.5530065 ],[159.71185148 495.39527893  -6.22297771],[106.44546568 454.6427536  -23.18294205],[ 71.78695321 424.25388336 -34.25219804],[ 45.36688328 393.45359802 -41.07056782]
221,True,[2.82280344e+02 6.63721333e+02 6.36206710e-04],[366.26112342 606.79178238 -23.43052268],[414.14682627 537.72577286 -27.22610459],[452.46750355 474.55884933 -32.70433277],[489.59357858 437.34578133 -38.47731695],[313.62652659 447.10538864  18.64252008],[335.10548472 372.79126167  14.85163741],[348.20783973 324.34822083   6.17723264],[356.82587385 289.49712753  -1.15682635],[256.77565813 445.67708015  16.76169444],[249.75753486 355.59900284  16.79708451],[245.99321008 303.50698471   9.55376532],[243.43758523 258.77949715   3.55135043],[207.40554571 461.0240078    8.10667299],[186.02657497 380.71123123  -2.39500461],[175.10010839 329.15230751 -18.14643346],[168.97897482 286.12375259 -29.01520573],[160.38199067 495.22888184  -3.53605052],[107.38233447 454.17612076 -20.12543902],[ 72.74323046 423.94932747 -30.68681002],[ 46.24654055 393.5503006  -36.85623541]
222,True,[2.83468831e+02 6.64741745e+02 6.42936870e-04],[365.97147703 607.94059753 -23.79789345],[413.03780794 538.1001091  -28.26756142],[451.44262075 473.50513458 -34.37150538],[489.5973444  435.95895767 -40.7975699 ],[313.38815331 446.09344482  17.52160482],[334.71737981 371.22141838  12.91468654],[348.08752656 323.30586433   3.19882594],[356.69023991 287.96527863  -5.02362644],[256.60048306 444.81986046  15.46946548],[249.98583376 355.32408714  14.96857602],[246.09405041 303.32625389   6.16910806],[243.14245105 258.06595802  -1.22787832],[206.82287335 460.62120438   6.76760511],[185.21178961 380.57375908  -3.84166117],[174.91909146 328.85733604 -20.57859287],[169.85039234 285.09601593 -32.50747003],[160.06949186 494.97751236  -4.94191848],[107.38101482 454.03899193 -21.53935812],[ 73.32868695 424.04245377 -32.52800502],[ 47.63804376 393.39586258 -39.21383679]
223,True,[2.83090736e+02 6.62086601e+02 6.43647777e-04],[366.35243654 606.41664505 -23.93258996],[413.4289062  537.55857468 -28.0621773 ],[451.64903283 472.929039   -33.81067559],[489.54829216 435.21632195 -39.85664159],[313.84603858 446.30925179  18.12695257],[334.58850503 371.44555092  14.10631355],[347.42722034 323.40405464   4.77061735],[355.10360599 287.87979126  -3.28278545],[256.93454683 444.78947639  16.35209899],[250.29226542 355.82900047  16.3531531 ],[246.15464151 303.80699158   7.61228269],[2.42589101e+02 2.58390999e+02 1.39460085e-01],[207.12178946 460.33018112   7.92309724],[185.39911509 381.05020523  -2.16405862],[174.77982044 329.63922501 -18.98828767],[169.31191206 285.98241806 -31.10190533],[160.56780338 494.46046829  -3.55511701],[107.95097351 454.10425186 -19.63714153],[ 73.87740254 424.70466614 -30.65059818],[ 48.16675544 394.79410172 -37.498485  ]
224,True,[2.83923272e+02 6.62557411e+02 6.41786528e-04],[366.7843473  605.76358795 -22.42934927],[414.57072258 536.96989059 -26.82178773],[452.35079527 474.29795265 -33.05486597],[488.47673893 436.59687996 -39.46091652],[314.34496164 445.75401306  17.20932327],[335.5163455  370.8005619   12.43635882],[348.40652704 322.47991562   3.23159709],[357.21513748 287.88482666  -4.42268221],[257.60911167 444.08423424  14.49401814],[250.48560977 354.41144943  13.4098126 ],[246.88171864 302.21471786   5.47649665],[244.64229405 257.51867294  -1.09224237],[207.75164723 459.25094604   5.26536472],[185.37726045 378.30070496  -5.90604974],[174.26919758 327.34926224 -21.78078912],[168.25606585 285.38709641 -32.79528178],[160.86969674 493.42947006  -6.78071458],[107.6642561  451.60597801 -23.3034423 ],[ 72.82960296 420.9154129  -33.56913798],[ 45.95781147 390.43169975 -39.62961003]
225,True,[2.83350191e+02 6.62525826e+02 6.52502922e-04],[367.15532899 606.33138657 -23.19168672],[415.35642743 538.17346573 -27.71519266],[453.07692289 474.83485222 -33.96496564],[489.64987278 436.87379837 -40.3197813 ],[314.42352891 445.94859123  17.88210176],[335.60238004 370.85383415  13.39985289],[348.29834819 322.34856606   4.26889759],[356.82387829 287.60367393  -3.35306872],[257.69638538 444.22213554  15.67186128],[250.93675196 354.39259529  14.82069612],[247.28137851 301.99473381   6.86082227],[244.84931767 257.00162888   0.34082586],[207.94718027 459.31918144   6.80972518],[185.65972924 378.37285995  -4.34248148],[174.37515557 327.39486694 -20.27149938],[168.13238919 285.10259628 -31.19556203],[160.88963628 493.54831696  -4.94044544],[108.10693324 451.39308929 -21.3836398 ],[ 73.57122838 420.86005211 -31.62129097],[ 47.02827036 390.3775692  -37.60457173]
226,True,[2.83997912e+02 6.60406265e+02 6.61592028e-04],[368.00051451 604.82666016 -23.22473824],[416.75290346 538.54059219 -27.74520256],[454.35839653 475.37298203 -34.11595255],[490.14187574 436.52950287 -40.49056694],[314.45156336 445.53422928  20.44082858],[335.47553301 371.08016968  16.84921559],[348.32532048 322.85024643   8.29331048],[357.34443069 289.24449921   1.26755461],[257.65594304 443.49463463  18.77971508],[250.74226499 353.9865303   19.38205138],[247.0180285  301.97977066  12.48697612],[245.04602551 257.34460831   6.77397402],[207.80687928 458.289814    10.22710707],[1.85892518e+02 3.77037163e+02 3.42970442e-01],[174.62268591 326.2156105  -14.83940151],[168.79058719 284.51116562 -25.25562041],[160.29558599 492.3046875   -1.29929629],[107.95813501 450.40523529 -16.79929532],[ 73.13514948 419.97470856 -26.67385653],[ 46.5073961  389.99673843 -32.35742055]
227,True,[2.84368637e+02 6.61433487e+02 6.66136243e-04],[367.87846327 605.31932831 -23.35473754],[416.41780972 538.30038071 -27.85060331],[454.17831302 474.71217155 -34.20063123],[489.91219282 435.75628281 -40.43204784],[314.59440708 444.72650528  21.3908194 ],[335.63643336 370.19471169  18.14141639],[348.66446972 322.24685669   9.87932984],[357.89813519 288.98963928   3.13414112],[257.83343554 442.94892311  19.93099228],[250.53258598 353.82287979  20.93677238],[246.84003711 301.78413391  14.51834109],[244.84360456 256.88243866   9.23815951],[208.12806845 457.95175552  11.44869771],[185.95214367 377.09466934   2.01481255],[174.93262589 326.41353607 -12.67776567],[169.17038798 284.55090523 -22.68833399],[ 1.60640191e+02  4.92098522e+02 -8.33297303e-02],[108.23962212 449.92647171 -15.11776652],[ 73.30417693 419.21522141 -24.66729127],[ 46.68910503 388.87241364 -30.09226687]
228,True,[2.84237283e+02 6.60967655e+02 6.58005326e-04],[368.05722713 604.89830017 -23.62099439],[416.7313385  537.81909943 -28.25203948],[454.24989581 474.44054604 -34.6245195 ],[490.1097858  435.67188263 -40.94591349],[314.68916416 445.23625374  19.7371792 ],[335.66488624 370.86974144  15.94245326],[348.35245371 322.72293091   7.37742377],[3.57248000e+02 2.89168625e+02 3.53057046e-01],[257.88618922 443.25496674  18.17374773],[251.00633919 353.80562782  18.40331599],[247.30844736 301.680336    11.51612643],[245.30398428 256.947155     5.89540053],[208.07339966 458.10095787   9.69263602],[185.90331674 376.85703278  -0.66190925],[174.60514426 326.05859756 -15.97591918],[168.67212474 284.43191528 -26.37095734],[160.66098332 492.09560394  -1.76918574],[108.30562055 450.24181366 -17.69234017],[ 73.49806845 419.81720924 -27.72578001],[ 46.88357592 389.90913391 -33.45774449]
229,True,[2.83793786e+02 6.62560844e+02 6.55584192e-04],[366.98773384 605.82035065 -23.46922696],[415.10321617 536.65975571 -27.73415856],[452.79696465 472.97286987 -33.58414494],[489.00153995 434.67352867 -39.52457741],[314.85543966 445.93909264  17.92700797],[335.92141271 370.43964386  13.72856665],[348.34228277 322.00793266   4.74432852],[356.36776328 287.07401276  -2.90734316],[258.09686601 444.01082039  15.91000523],[251.57864749 354.57395554  14.87600662],[247.8902185  302.06537247   6.41619835],[244.9816525  256.75952911  -0.4709368 ],[208.39381635 458.97408485   7.23729478],[186.02150559 378.34831238  -4.25438097],[174.27915931 327.37861633 -20.98770954],[167.10264623 284.62108612 -32.46643223],[161.45103335 492.97828674  -4.28013973],[109.21651483 450.83879471 -21.12249658],[ 74.53606725 420.61926842 -31.97048642],[ 47.48435318 390.16179085 -38.41887027]
230,True,[2.83650749e+02 6.61704311e+02 6.52061767e-04],[366.36019349 605.4602623  -24.1343189 ],[414.8791337  536.77654266 -29.15358558],[452.70478249 472.914505   -35.74944198],[489.15317059 434.50847626 -42.44638011],[314.45536137 446.26759529  16.51410073],[335.74280977 370.91691971  11.54053085],[348.32573891 322.36201286   2.10415274],[356.71544194 287.4514389   -5.74380258],[257.94259608 444.099226    14.66312204],[251.39037251 354.68902588  13.26025899],[247.725842   302.21952438   4.786864  ],[245.1340878  257.01519012  -2.11176862],[208.4309113  458.77149582   6.14557117],[186.10184312 377.97426224  -5.35929551],[174.42963123 327.31035233 -21.707424  ],[167.6566565  284.9250412  -32.99253881],[161.64072454 492.47331619  -5.31384012],[109.37873483 450.53263664 -22.03621119],[ 74.82083738 420.56530952 -32.63697445],[ 48.02003324 390.47527313 -38.94956142]
231,True,[2.84738524e+02 6.64940529e+02 6.44396623e-04],[366.06372356 607.79508591 -24.50963773],[413.72119188 537.07958221 -29.67935823],[452.04598904 472.0676136  -36.34591028],[488.71842742 433.1308651  -43.00638512],[314.56308961 446.20542526  16.29991259],[335.35290241 370.85749626  11.39524195],[347.74036288 322.62056351   2.07834859],[355.93775153 287.64358521  -5.70702698],[257.81119466 444.01711464  14.60515112],[250.64037859 354.48311806  13.6651874 ],[246.98281646 302.36223221   5.84292144],[244.35496509 257.12851524  -0.6207913 ],[208.20037544 459.03159142   6.14763413],[185.85503697 378.02547455  -4.77610666],[174.42956686 327.29081154 -20.48831776],[167.79727936 284.6185112  -31.47193149],[161.34784341 493.29059601  -5.36500661],[109.09982264 451.04561806 -21.71305262],[ 74.35986221 421.08947754 -31.99706845],[ 47.46703684 390.76818466 -38.13930228]
232,True,[2.84956748e+02 6.62965107e+02 6.48636278e-04],[365.97411633 605.94926834 -25.0959532 ],[413.24061513 536.24513626 -30.95263638],[451.93143725 470.91424942 -38.20972234],[489.41973925 431.50514603 -45.68278581],[314.42031026 445.82808495  14.74545311],[335.40945411 371.01242065   9.12069585],[348.04468632 322.73414612  -1.08395585],[355.90785027 287.42431641  -9.60715268],[257.55667984 444.09547806  12.94298753],[250.62827647 354.35428619  11.34686463],[246.79930508 302.37330437   2.32343137],[243.20304215 257.36377716  -5.1901011 ],[207.61675358 459.22296524   4.46540074],[185.36483645 379.79639053  -7.17975738],[174.18253541 328.64233017 -23.97411458],[167.45182157 285.80904007 -35.85593507],[160.89028001 492.62849808  -7.05693316],[108.7559098  451.56369209 -24.26295228],[ 74.10203218 422.5073719  -35.23681954],[ 46.91564977 393.07394028 -41.89739496]
233,True,[2.83428791e+02 6.61575165e+02 6.40490321e-04],[365.75186849 605.23086548 -24.63327415],[413.09497118 535.47775269 -30.00966623],[451.033144   469.55391884 -36.64458901],[487.73854136 429.70550537 -43.49197894],[313.43691587 444.98651505  14.52383492],[334.20612931 370.47117233   9.30278197],[346.65088177 322.55839348  -0.39770165],[354.47796464 287.37831116  -8.59224066],[256.79616094 443.71450424  12.88765591],[249.8342514  354.90240097  11.67537522],[245.85699677 303.15279007   2.81433396],[242.6258415  257.85987854  -4.6712561 ],[206.94222093 459.36504364   4.76032672],[184.6397227  380.30962944  -6.39929842],[173.83123577 328.96771431 -22.98592642],[168.12712669 285.6508255  -34.83815342],[160.56860805 493.42998505  -6.35094473],[107.54310608 453.11845779 -23.31866853],[ 73.53289425 423.41531754 -34.34407443],[ 47.76341021 393.21616173 -41.03624493]
234,True,[2.83754454e+02 6.64600925e+02 6.31080509e-04],[366.10917091 606.414814   -24.15698424],[413.18145633 534.67769623 -28.61698419],[450.97672105 468.33529472 -34.56960931],[487.69521832 428.66131783 -40.76774508],[313.9423728  444.11221504  17.31223561],[334.26239133 369.95756149  12.7744982 ],[346.83605075 322.36633301   3.0713636 ],[354.62911248 286.96360588  -5.24827771],[256.93462729 443.2615757   15.56870956],[249.29007411 355.06270409  15.01717161],[244.93803978 303.38450432   5.84277911],[241.30146325 257.75974274  -1.91549052],[206.90227747 459.26402092   7.20112771],[184.50191617 380.97985268  -3.22622244],[173.5243535  329.92933273 -20.02688996],[167.6523757  286.53030396 -32.10373051],[160.47655463 493.71173859  -4.2150312 ],[107.5428164  453.50881577 -20.59162237],[ 73.57674837 423.94526482 -31.62808634],[ 48.08865488 393.70067596 -38.3815138 ]
235,True,[2.83342595e+02 6.61952705e+02 6.29167630e-04],[365.69486618 605.70831299 -24.74185534],[413.01450491 534.63529587 -29.71259482],[451.26466155 468.20217133 -35.92835471],[487.5690794  427.9147625  -42.54806936],[313.61909151 444.62121964  14.25111964],[334.29618716 370.40070534   8.95068973],[346.45402908 322.4365139   -0.97083951],[353.57110977 286.7348671   -9.43049904],[256.73909426 443.78943443  12.49552466],[249.38888669 354.70991135  11.02759056],[244.76590633 302.77633667   1.51608424],[240.67593455 257.37364769  -6.56912953],[206.85267806 459.71669197   4.31256663],[184.70988929 381.24000549  -6.87166912],[174.04394031 330.27053833 -23.78095329],[168.23736548 286.89239502 -36.01083666],[160.41025043 493.84677887  -6.88481631],[107.61433482 453.4647274  -23.93276699],[ 73.94946814 423.67690086 -35.15104249],[ 48.51042688 393.25261116 -42.10496172]
236,True,[2.83327693e+02 6.63156853e+02 6.29572012e-04],[365.91560125 606.22003555 -24.44626249],[413.79045725 534.11476135 -28.77681635],[452.09797025 467.3915863  -34.38398167],[488.94183397 426.95397377 -40.32981142],[313.92283559 444.49619293  15.89809824],[334.43558693 370.07328987  11.1935965 ],[346.50398254 322.56385803   1.46361005],[353.41751575 287.09197998  -6.95466656],[257.12771416 443.65682602  14.12521608],[249.65424836 354.56419945  13.15625835],[245.2097261  302.43793488   3.54750389],[241.10100567 257.10760117  -4.59733425],[207.14161634 459.74264145   5.85677924],[184.76301312 381.34906769  -5.09721586],[173.97422433 330.25526047 -22.22839683],[167.94820189 286.600914   -34.54250827],[160.60710311 494.0196991   -5.40387131],[108.07728946 453.57933998 -22.3410134 ],[ 74.60282207 424.06445503 -33.56702775],[ 49.35577333 393.77969742 -40.46329692]
