,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
max_angles,"[45.2, 43.6]",[23.3],[9.1],"[55.0, 71.2]","[63.8, 60.1]","[22.1, 24.4]","[61.7, 75.3]","[89.3, 77.0]","[21.0, 30.1]","[69.2, 76.2]","[87.8, 80.9]","[29.9, 31.7]","[72.0, 74.2]","[56.4, 17.9, 54.8]","[28.6, 8.1, 28.7]"
min_angles,"[24.9, 31.8]",[15.2],"[6.1, 7.1]","[28.5, 18.7]","[1.9, 2.7]","[3.4, 1.6]","[18.7, 6.8]","[8.3, 6.7]","[2.4, 1.8]","[12.9, 16.2]","[13.9, 10.6]","[3.5, 3.3]","[21.8, 22.6]","[10.7, 10.0, 14.2]","[5.0, 6.0, 5.1]"
max_times,"[57, 182]",[137],[152],"[67, 185]","[67, 185]","[60, 185]","[67, 183]","[63, 185]","[61, 185]","[71, 183]","[61, 185]","[59, 185]","[74, 183]","[61, 143, 185]","[60, 133, 185]"
min_times,"[24, 156]",[70],"[58, 180]","[31, 120]","[31, 114]","[33, 153]","[33, 115]","[29, 113]","[27, 138]","[33, 113]","[25, 113]","[24, 138]","[33, 113]","[25, 113, 157]","[24, 113, 157]"
