,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
37,True,[2.59438545e+02 6.96825256e+02 4.07266965e-04],[ 222.55550981  663.43946457 -142.16331661],[ 179.73768532  572.24927902 -190.11582255],[ 153.16374779  468.39408875 -215.09678543],[ 134.72474098  372.25090027 -232.43049145],[131.43043578 488.27270508 -79.55437839],[ 177.47395992  404.03377533 -149.40024376],[ 251.28467202  426.28149033 -203.61394286],[ 313.07884097  461.75880432 -228.70969892],[170.75573444 465.48571587 -17.60130867],[227.46876419 383.94873619 -95.86426377],[ 304.71697927  434.45906639 -155.66301405],[ 359.39596653  485.68450928 -180.19589245],[214.43636656 448.88033867  29.07326818],[272.07963467 377.25379944 -56.69817567],[ 336.96757078  414.4119072  -112.60317922],[ 383.99939775  465.40014267 -127.90661663],[250.34987926 441.08530998  68.05422753],[ 3.00336428e+02  3.81490288e+02 -3.65394379e-01],[360.24028301 391.95167542 -40.1933004 ],[408.00686359 418.74423981 -53.02997589]
38,True,[ 2.60993845e+02  7.11248302e+02 -7.25811859e-05],[ 215.2843684   655.38150787 -117.40609825],[ 169.7860837   560.23796082 -153.437832  ],[ 146.27731562  448.66272926 -174.04035151],[ 117.53373384  352.53250122 -183.33325624],[112.62751222 476.99226379 -31.35417111],[159.59412932 393.14618111 -98.00878644],[ 216.00207925  424.91532326 -148.0737251 ],[ 250.60297787  468.9262104  -169.03940499],[167.26359487 463.41711044  14.98899635],[208.73459101 381.52956963 -62.01199114],[ 268.49569917  450.85724831 -115.66275626],[ 300.45799613  512.03430176 -132.42020309],[223.09621096 457.84212112  44.91891146],[256.64222896 380.52635193 -44.18486997],[308.36625338 439.99820709 -87.41602957],[337.27775216 501.58430099 -89.5500192 ],[270.57053804 463.68155479  68.25586796],[305.61816931 405.23062706  -4.47783781],[361.06367826 420.34346581 -38.0941084 ],[401.91524506 443.60927582 -42.43631378]
39,True,[2.60940142e+02 7.09746838e+02 9.22399155e-05],[ 218.02656233  655.59305191 -122.52270699],[ 173.01894486  556.69692993 -157.34343946],[ 147.33477116  447.45703697 -174.80714679],[ 120.25434673  352.56923676 -181.79578722],[116.81871861 477.33695984 -36.76911861],[151.34150863 387.23482132 -98.57996017],[ 196.78637981  406.93533897 -143.36390555],[ 226.5087533   439.5160675  -161.24888599],[167.21499324 463.99251938  14.97986946],[207.10466623 380.37348747 -59.52068701],[ 263.27710748  451.08020782 -109.86025304],[ 292.59209633  511.96094513 -123.76614422],[219.58715737 458.78170967  50.44016495],[255.32547891 384.46995735 -37.34685034],[303.47583532 451.71183586 -79.38618779],[327.55868196 517.62348175 -80.10072023],[263.99007082 463.74629974  78.92998427],[302.88637161 405.21477699   6.50410624],[359.58757281 422.44394302 -28.84513624],[400.48326731 447.8847599  -34.24339503]
40,True,[2.61935670e+02 6.94904079e+02 5.84327837e-05],[ 208.29909146  653.40620041 -114.58641529],[ 163.49416852  554.45972443 -143.9795208 ],[ 147.91470766  442.81868935 -156.4885658 ],[ 129.61227626  351.0020256  -158.40411365],[110.40096223 483.84933472 -37.9260546 ],[148.16286564 409.07887459 -99.16940778],[ 203.42063069  447.02284813 -139.4804424 ],[ 239.86847162  491.08257294 -152.71690249],[166.42671347 459.9947834   12.53408812],[208.78816545 388.75556946 -58.89041081],[ 262.56948709  464.05975342 -100.93776673],[ 290.11695385  527.22398758 -108.30154896],[221.72472775 447.89608955  47.55545318],[263.46987247 393.18823814 -37.8039591 ],[304.28584099 468.39434624 -72.87763327],[322.57273436 535.2431488  -67.76544213],[265.83638549 448.59114647  76.32920176],[313.65124583 398.13197136   8.80338516],[368.66033792 421.55925751 -20.02405755],[406.21446133 449.81878281 -20.02238184]
41,True,[2.61875836e+02 6.96592369e+02 3.60637689e-05],[ 217.90748835  647.49555588 -124.99858975],[ 175.8190906   550.22123337 -160.31668425],[ 156.91690385  438.27541351 -175.83717942],[ 131.81390584  345.52625656 -178.65285516],[104.13535953 474.40718651 -48.88208449],[ 182.50062346  399.58992004 -114.52730477],[ 251.01649404  448.17014694 -155.86411536],[ 286.40044212  500.27378082 -169.23662782],[159.26474869 454.35513496   5.67448542],[222.48516619 384.02515411 -70.12322456],[ 278.79818201  462.61141777 -112.36844301],[ 302.67567873  526.70459747 -119.87058699],[215.62147379 445.05535126  44.13242206],[268.8661015  387.73286819 -45.25640309],[312.81912804 460.51294327 -78.96873683],[330.77742934 524.24921036 -72.83989459],[260.44759154 447.09151268  75.77799976],[311.91378593 397.94486046   3.52711173],[368.13917398 424.87647057 -24.68034893],[405.20496368 455.37546158 -23.31163175]
42,True,[2.66305456e+02 6.99886322e+02 2.50377552e-04],[ 224.73255694  653.86087418 -134.3160367 ],[ 182.09885538  556.03431702 -176.09628081],[ 159.28301454  449.41317558 -195.84001601],[ 133.72531772  356.635952   -203.51453483],[109.74066406 486.76059723 -74.75307673],[ 157.74881244  403.01825523 -148.74920726],[ 209.66468453  436.98972702 -192.89134562],[ 242.33630776  472.58402824 -208.14213395],[164.11343694 464.78316307 -16.48584601],[215.30089617 390.24896622 -99.17967528],[ 269.38852072  468.676157   -139.15725768],[ 291.43344641  526.5284729  -145.12766182],[221.21119201 451.8545723   25.31914249],[264.83839452 391.30494118 -68.48707974],[306.64369583 470.73440552 -96.91417962],[320.43349028 536.59566879 -87.50421256],[266.04823709 450.37762642  58.98800433],[316.51095271 398.75882149 -16.62778549],[369.48634028 426.84453964 -45.95024362],[400.88733673 456.7518425  -46.01760998]
43,True,[2.64127024e+02 6.96497097e+02 5.07768829e-04],[ 215.70045948  659.0549469  -123.12144846],[ 172.52579927  558.60998154 -163.86725843],[ 150.50391912  452.72904396 -183.39349329],[ 132.47321427  365.88941574 -196.17174625],[125.07142782 507.03660965 -90.69568187],[ 126.86951101  419.93951797 -152.66888022],[ 132.71668911  375.02895355 -188.32659066],[ 142.08447576  337.96354294 -204.8035723 ],[176.67692542 478.08671951 -38.75203282],[ 214.14810419  401.2975502  -119.3742308 ],[ 261.15843058  469.80494499 -149.1334337 ],[ 283.44665408  523.50654602 -148.40661407],[2.29793531e+02 4.57758350e+02 3.69455097e-01],[269.20364141 394.0573597  -91.28154069],[ 305.86893439  471.00666046 -110.81797063],[316.88318968 535.93769073 -96.40838474],[272.55396724 450.46923637  31.86508164],[320.38492084 397.97933578 -43.76733854],[370.16145229 424.15924072 -70.37126184],[397.30439901 454.21892166 -69.91069704]
44,True,[2.70593616e+02 6.98521099e+02 2.13931820e-04],[ 224.22108114  654.02898788 -123.40732098],[ 182.31846392  553.73817444 -156.84028387],[ 160.66706657  443.82044792 -169.82361317],[ 133.49552214  349.67411041 -171.33831024],[108.91271442 493.61680984 -59.4363986 ],[ 155.63048959  411.84559822 -122.27781594],[ 213.25333536  446.23240471 -159.29555118],[ 250.19886017  487.27930069 -170.10379672],[165.0157696  469.00285721  -3.39784015],[218.92570853 396.19949341 -74.01121795],[ 273.96048546  472.53121376 -110.03179103],[ 295.37487745  531.80128098 -114.77785259],[223.16251516 453.14180374  37.34330982],[269.98215258 394.35419083 -47.19381362],[311.49252892 471.84253693 -76.23969108],[324.40292358 537.05629349 -68.82697731],[267.9710108  448.31359863  71.18299752],[318.85834694 395.4681015    1.77784491],[370.82230568 423.76633644 -25.92851959],[402.01991558 455.25884628 -25.61114453]
45,True,[2.69882728e+02 6.98566074e+02 1.85293552e-04],[ 223.1898737   652.41004944 -123.17505509],[ 181.54362202  555.16662598 -158.98001075],[ 161.92908347  450.64936638 -176.12901449],[ 144.16148722  360.86608887 -181.97852612],[117.11394131 492.15288162 -53.36068824],[ 150.68900764  413.94996643 -122.47147411],[ 199.95584965  450.18997192 -167.84687877],[ 232.6145339   491.14110947 -184.07391608],[1.71169492e+02 4.69576979e+02 2.94712650e-01],[213.65104795 392.12685585 -77.38703549],[ 267.54558563  468.68971825 -121.8759352 ],[ 290.21042347  528.19061279 -131.34799808],[227.00440943 454.70801353  38.0138272 ],[265.42887211 391.53905869 -51.29489377],[307.00531125 469.03770447 -85.51334023],[320.594455   535.5994606  -80.35575002],[270.63874125 451.12203598  68.64343375],[319.59236026 394.3309021   -1.78845263],[372.27855206 420.95243454 -31.65562794],[402.99226999 451.99367523 -32.94716589]
46,True,[2.74171082e+02 6.95927010e+02 1.44624572e-04],[ 226.89906299  652.11736679 -127.24684954],[ 181.10443711  551.84606552 -165.75848937],[ 159.36486483  440.43271065 -185.56778848],[ 140.56150675  344.80093002 -193.08283925],[113.72379273 483.53319168 -57.57436886],[ 159.44893599  403.70956421 -129.31387514],[ 220.67229331  447.68068314 -172.72616029],[ 260.67439377  496.0874176  -186.82270825],[168.26924622 459.72567558  -3.73861933],[217.55853832 385.28097153 -84.64353204],[ 277.41152287  464.71627235 -128.52891058],[ 304.46376801  523.86749268 -137.39163458],[224.31743145 444.57009315  33.66628893],[268.07471573 384.38398361 -60.29495358],[313.25647831 464.72728729 -93.30027044],[330.11596441 532.93991089 -86.777924  ],[268.87987733 442.61967659  63.76286477],[317.30895281 389.14446831 -10.94274893],[373.54348183 415.36108017 -40.11026725],[408.29235792 445.85466385 -40.00499725]
