,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
0,,,,,,,,,,,,,,,
angles for frame_1,23.751220782096496,9.782072404851219,9.823455222312377,38.92444218207353,42.290646798204406,48.210235373897945,33.07595487954784,53.57814066941075,40.220685328302466,29.400221153984987,53.001257794175295,44.52350333043963,19.566782176193016,41.47207218209616,58.99860971892092
angles for frame_2,30.934572212795814,12.611592667690969,8.989102141337655,34.67765345903343,32.70048363351185,41.88980903929486,29.138999774065333,40.802246834033255,37.28670748024503,26.56305162392105,37.91151613071457,25.18480232842376,20.286039700575124,22.155895253154814,23.930006396134576
angles for frame_3,32.93382081767943,9.274599614491363,10.132114197977952,37.188613713986975,38.82069576419716,44.03144062400362,34.189503199587634,47.435954196585335,37.43234433655114,31.41011099734484,45.72841952239427,30.837330014787153,24.34128759436965,29.151694609149605,35.76821197976771
angles for frame_4,28.416998468340687,10.732941510998986,6.601577894225719,35.36303860738898,31.845473733088514,44.882458362434996,30.552202705239,40.16839727709279,40.00179415288065,27.76148217001888,37.51769869227053,31.897551059162577,20.20925270465624,20.798784786512826,29.78591940067424
angles for frame_5,22.475992276289855,5.51300974648405,7.133552136405539,34.64303193684236,37.93979576906711,65.75023715334487,32.687767337989726,47.99712279571391,62.934968869934536,30.119294416043463,50.291177353869784,62.91427386079521,22.459704868748894,30.284038879981832,75.4194347568703
6,,,,,,,,,,,,,,,
angles for frame_7,18.012477980825476,11.464470503524948,9.128651926855323,35.25332066149266,29.904580076518908,49.60037658543557,30.935718183878016,38.037378166842586,45.099389682373705,26.73197781100758,36.566162927804584,31.985700335123898,17.741447770225136,24.649022302960788,37.173517880373545
8,,,,,,,,,,,,,,,
angles for frame_9,26.88323439918182,13.976357850468732,8.851959680372094,25.327914227466074,31.647219014084527,83.59048144610715,20.02464149285377,43.058592201248686,88.17478681426812,17.474548472530696,38.213504006135246,86.12765204789143,14.868736217773462,13.153208221744851,85.18351176793885
angles for frame_10,13.809586302474946,9.747613836904131,2.227483508619994,30.17789674759484,39.12973104748039,74.24210110074512,24.222327081900733,46.73242332465902,75.58363995124739,17.259618487747804,42.937763706625525,72.47161998310409,9.051988146891402,18.943779039585756,63.22465361959002
angles for frame_11,19.899056767445312,9.83408698868291,5.954579972379602,33.27007064135675,47.28551587309644,64.71259581758827,29.01855366422964,57.213910440219465,57.30531300365101,25.103795601809885,60.43119523867592,55.7275182095936,16.968854514374502,36.60902500568034,72.57853699795646
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
angles for frame_14,23.354832641127334,3.168339187855488,12.987401971981473,32.399474968372935,38.75708806365865,67.84161404952917,30.334076392378662,46.132988272532344,40.14115911407142,28.635725379831634,45.33622809328951,41.69350025224486,24.311686007442177,27.372591036483822,46.64707199363261
15,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,
