,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
max_angles,"[44.35085940414975, 40.112765467475015, 40.560365292093216, 26.643907220369595, 26.61801603763654]","[28.298045638591873, 16.453828010320372, 24.36140270991544, 19.725083466234413, 19.827667787123136]","[16.09175164113287, 29.971442081742737, 25.665512993647848, 20.08820909772238, 25.240298749536304]","[68.70421543633327, 63.56633316738937, 61.87334372962647, 51.47048353961062, 48.081582737490464]","[122.03480402873667, 101.6907887400585, 134.40225977193126, 132.29385474166577, 143.46202177004884]","[30.314704035003363, 60.00825128713356, 49.12573323925725, 48.73894280687055, 32.8218105610045, 39.7183732175426, 28.811454993209498]","[78.81487147616447, 77.99970489199033, 78.13205457956714, 35.382520132323926, 31.15142779601817]","[133.61577319370335, 90.90910418617113, 138.08578930273933, 139.71380025516683, 144.2235712195885]","[67.27203919480658, 55.525334007624046, 56.86707395428903, 30.45576337354504, 18.80118697905687]","[81.9052034827756, 82.39113744340693, 83.64539452788625, 25.353565224403614, 24.381540935525297]","[145.0430217111204, 86.11868726626801, 129.22310764567192, 131.47570315377598, 132.461116428847]","[64.81404174726522, 54.563616741733505, 54.71303717289184, 29.36406920204593, 26.14583036656558, 21.22714747184303]","[79.34567177166862, 81.00122886597833, 84.47106182740067, 41.76008900325413, 50.260407046972034]","[150.1815962878321, 79.49789896368519, 122.41341946652771, 126.0378295251882, 118.58121160145059]","[60.21434959843751, 56.46774298599663, 56.01420334908294, 18.02043607226398, 19.995689625559553, 15.882008768549056, 20.73700418590487]"
min_angles,"[21.67223865333941, 27.569363517245733, 29.987305333883935, 17.2777373548961, 17.461288694983935]","[2.5772170803188867, 12.753683723248093, 12.575717201483918, 3.0943980410442706, 2.151991180740915]","[11.77353903054299, 12.445733763646375, 9.993620426285245, 12.700523412282239, 7.559548709410808]","[8.264420861708066, 22.964869993153787, 36.90030400260802, 7.551740849222976, 6.668009481106405]","[4.9333313633981986, 14.475275449805986, 48.4720317164881, 1.795300718030429, 1.584552144872907]","[3.0325010525190668, 18.51335208680724, 9.553744868678958, 26.751307235213407, 27.310862157204905, 2.0610232765032785, 2.450699634706567, 21.955643228485503]","[4.609664319162108, 15.021406339623836, 43.594723723346924, 0.6221556145133152, 1.2563307473670646]","[4.643704424640776, 13.799023202243605, 46.74860133885992, 3.243508785021863, 3.0518954095399056]","[1.5198678719412781, 9.479549218919994, 27.714842483458913, 0.8302562468035051, 1.1298136838587272, 15.461033418292073]","[5.561368982847423, 13.467257269306103, 46.466098602118485, 2.0928068770830364, 2.736542649680065]","[3.790649594707386, 14.28227236376228, 46.252370463652625, 4.73120462654699, 4.608552994998743]","[4.157171375282888, 8.446249785004332, 27.214818339269808, 24.0339970709386, 3.7504348061989767, 4.031571241090064]","[6.1717072410936895, 16.81319382045034, 46.49375410680818, 13.876712334389447, 14.942700225297733]","[5.607084349628271, 11.724131396528968, 40.35709261811085, 3.2625685233694965, 3.630282648184006]","[6.120233160481096, 6.407835651903135, 25.580447433723492, 11.345003775782013, 5.897933400526768, 11.382240015009826, 6.668932318501628, 13.703896942172163]"
max_times,[ 96 214 303 440 507],[ 88 138 326 436 507],[ 79 116 326 420 499],[123 213 302 438 507],[ 86 212 351 429 507],[ 78 117 215 302 356 442 499],[125 214 303 437 507],[ 86 214 333 439 501],[ 98 215 305 442 499],[126 214 304 424 507],[ 86 214 333 439 501],[117 214 305 356 443 499],[126 215 307 424 507],[ 83 214 332 439 507],[120 215 306 357 419 443 497]
min_times,[ 49 173 230 394 468],[ 49 114 174 391 470],[ 56  91 220 395 449],[ 49 173 280 383 469],[ 47 173 230 391 470],[ 51  85 173 280 351 388 471 506],[ 49 173 280 388 471],[ 48 173 230 395 467],[ 53 173 280 386 471 502],[ 48 173 230 388 470],[ 46 173 230 395 467],[ 53 173 280 333 393 473],[ 50 173 230 396 474],[ 53 173 280 388 471],[ 52 173 280 336 393 438 472 507]
