,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
0,True,[ 1.80490952e+02  4.01695862e+02 -1.21876167e-04],[225.96497297 364.46723938 -20.57935998],[251.31955147 311.02010727 -31.3422212 ],[215.56385994 274.31613922 -42.01904118],[171.90783978 273.4094429  -49.74124968],[207.08280087 243.98740768  -0.67111556],[198.19267273 196.17816925 -23.77104521],[201.23399734 198.87750626 -35.69192737],[200.86977482 223.94327164 -39.12327468],[169.35979486 257.35519409  -1.03204907],[161.3392067  218.29551697 -26.66664273],[178.1873095  274.06827927 -29.8894161 ],[186.7751956  301.06136322 -23.02200079],[139.27946448 276.22739792  -6.27937317],[131.91096425 249.31201935 -35.27167886],[153.52102876 293.19978714 -28.24178338],[159.65034842 310.41061401 -14.35929313],[108.60347986 301.3983345  -13.21401805],[109.18775082 276.61924362 -29.71229374],[129.26861286 304.45262909 -19.84751388],[135.1124382  317.17863083  -7.33246073]
1,True,[ 1.79674788e+02  4.04219589e+02 -1.10545076e-04],[226.68176651 367.54554749 -21.38157517],[251.27968311 308.25195312 -32.26347953],[209.82320309 275.67457199 -43.44503492],[167.72717714 291.34412766 -51.40206277],[207.5046587  245.6312561    1.15371399],[195.80447674 197.75928497 -23.49865347],[196.47236824 204.12910461 -35.77632576],[197.85106659 228.98527145 -39.02442992],[170.36753297 259.38631058   0.28888139],[162.82005429 220.49036026 -27.43532091],[181.75367117 275.02243042 -31.81350678],[189.30627823 301.16851807 -24.98755306],[140.36417127 278.22626114  -5.73993199],[131.69744968 250.05418777 -34.74289745],[153.80913019 293.77796173 -26.94503725],[159.74461198 312.24086761 -12.08577633],[109.01566029 303.73682022 -13.74443293],[107.25233316 277.83151627 -27.7478385 ],[126.46327972 303.34875107 -16.29857183],[131.25512123 315.87080002  -2.88470272]
2,True,[ 1.77284038e+02  4.04969406e+02 -1.30775554e-04],[224.81318951 368.72379303 -20.38994908],[249.61907387 310.22233963 -31.23070568],[209.27620411 276.92796707 -42.74516344],[167.35652804 292.918396   -51.08173728],[207.04748154 247.15953827   0.7617943 ],[195.70019245 198.60481262 -24.10118759],[197.05449343 209.22597885 -36.20106161],[199.25210238 237.40550995 -39.22675431],[170.04800677 260.62372208  -0.68782195],[161.69594049 220.78701019 -28.95134568],[180.33943892 275.45051575 -33.25510025],[189.08777475 302.43457794 -26.30897284],[139.99262094 279.10694122  -7.18319647],[130.68859577 249.17720795 -36.34702206],[152.52349377 292.92743683 -28.61025989],[159.45118904 312.47623444 -13.78278047],[108.62084985 304.1558075  -15.6065391 ],[106.68576479 277.74642944 -30.23709476],[125.84813118 303.82287979 -19.41309661],[131.75403357 317.15463638  -6.3531547 ]
3,True,[ 1.76894431e+02  4.04748116e+02 -1.30796529e-04],[224.86809969 369.31892395 -21.17895171],[249.48771    310.81645966 -32.35552758],[208.22898388 277.26987839 -44.07324851],[165.54974914 292.71024704 -52.30279684],[2.06096756e+02 2.47302666e+02 1.42240080e-01],[195.14452457 198.82266998 -26.17218554],[197.59011984 211.73650742 -38.97810012],[200.16383886 239.77638245 -42.14075983],[169.05904412 261.11495972  -1.13288227],[161.21754169 220.90536118 -30.31198204],[180.14282227 275.86519241 -34.7765404 ],[188.12108517 301.57938004 -27.72291005],[138.89623046 279.58786011  -7.67786823],[130.17683029 249.77201462 -37.85125852],[152.49583483 294.42415237 -29.99818236],[158.93294334 312.99951553 -14.76622984],[107.63420463 304.21823502 -16.18111119],[106.17610216 277.88404465 -30.84426373],[125.64617157 304.60327148 -19.62718114],[131.06449127 317.67971039  -6.17311478]
4,True,[ 1.76523868e+02  4.04887695e+02 -1.71477736e-04],[224.93528366 369.96116638 -22.00000405],[249.72252131 310.20181656 -32.6319319 ],[207.55480528 276.92354202 -43.39513779],[164.26481009 293.40265274 -50.05477846],[205.72326422 247.35385895  -0.60775332],[194.5842433  198.70182037 -28.06211561],[198.84032965 219.30580139 -41.37227744],[202.22401142 247.5994873  -44.73032266],[168.83614182 261.30638123  -1.51927393],[160.92228413 221.63703918 -31.07125372],[180.59032202 277.10666656 -35.67574561],[187.39929199 300.4278183  -28.84532332],[138.48153949 279.88798141  -7.94789225],[129.88844991 250.64149857 -38.56019318],[152.94648886 296.11034393 -30.91674775],[158.67766142 312.76000977 -15.74438453],[107.40481138 304.29239273 -16.32810831],[105.90685129 278.17443848 -30.71043223],[125.86420298 305.30929565 -19.32790697],[130.61238885 317.4987793   -5.73822744]
5,True,[ 1.76522344e+02  4.05527153e+02 -1.57682139e-04],[224.82134342 370.34202576 -21.27308115],[249.35591698 310.45528412 -31.71256989],[207.3817277  276.80362701 -42.51001954],[164.49439645 293.84796143 -49.49967384],[2.05714145e+02 2.47826309e+02 2.42149348e-01],[194.43923235 198.88095856 -26.47638828],[198.13098192 216.49131775 -39.58194047],[201.30761862 244.61811066 -42.97205687],[168.91978383 261.65838242  -0.98396813],[160.51528573 221.39791489 -30.37725627],[180.27654648 276.44292831 -35.14351487],[187.80396223 301.1631012  -28.39621425],[138.68093491 280.27788162  -7.575837  ],[129.5252037  250.34498215 -37.9918921 ],[152.64619946 295.50180435 -30.44043303],[158.91970396 313.43427658 -15.34630582],[107.52291441 304.83945847 -16.08606175],[105.71800232 278.37333679 -30.64432114],[125.56654215 305.30620575 -19.50401142],[130.7397294  318.11893463  -6.10951692]
6,True,[ 1.75774255e+02  4.05629425e+02 -1.61984474e-04],[224.44673538 370.26683807 -21.13000676],[249.25759792 311.05424881 -31.58305943],[207.60130405 277.3731041  -42.41814047],[164.99462843 292.76151657 -49.48397219],[2.05077496e+02 2.48042068e+02 1.29063277e-01],[194.35303688 199.41291809 -26.76694661],[197.9043889  217.50442505 -40.05415946],[200.88777781 245.18497467 -43.59396189],[168.42309237 261.92470551  -1.15568457],[160.07350445 221.14803314 -31.21113896],[179.8130393 276.3968277 -36.4703688],[187.48053074 301.72185898 -29.91027832],[138.24050546 280.56501389  -7.73590386],[129.1052556  250.2028656  -38.62669587],[152.18733788 295.76940536 -31.23790741],[158.6313343  314.09046173 -16.08930185],[107.09230185 305.09101868 -16.17780939],[105.31655073 278.58371735 -31.00107908],[125.10949373 305.69437027 -19.98305663],[130.47348261 318.58371735  -6.59054026]
7,True,[ 1.75181905e+02  4.05311813e+02 -1.75092371e-04],[224.07770634 371.23378754 -21.25410184],[249.15535212 311.22852325 -31.32810742],[207.45092869 276.97364807 -41.70407742],[164.2878449  293.41463089 -48.12752008],[2.04610898e+02 2.47929649e+02 1.46015456e-01],[193.74320984 199.08901215 -26.70897335],[197.76688814 218.99927139 -39.49987024],[200.96496105 246.6267395  -42.65464693],[168.18521261 261.86281204  -1.07273181],[160.37499547 220.95993042 -30.66792995],[180.05986691 276.92338943 -35.22457391],[186.86920166 300.80640793 -28.26848209],[138.08878899 280.4640007   -7.6761248 ],[129.29558516 249.98434067 -38.49385947],[152.32738137 296.18148804 -30.7008943 ],[157.99143434 313.47133636 -15.36492303],[106.75891399 304.80239868 -16.14617139],[105.12448311 278.46952438 -30.86689085],[125.03796458 306.05998993 -19.64664727],[129.85040545 318.59376907  -6.1927405 ]
8,True,[ 1.75571415e+02  4.05410614e+02 -1.62650759e-04],[224.06461716 370.52677155 -21.18160978],[249.26347733 311.38793945 -31.6785112 ],[207.28111267 277.81393051 -42.50447541],[164.0278101  293.6346817  -49.50714111],[ 2.04298561e+02  2.47965412e+02 -1.96935183e-01],[193.85549784 199.38611984 -27.05680221],[198.1513238  218.026371   -40.01825809],[201.23901844 245.3414917  -43.37036759],[167.77193785 261.79807663  -1.53118545],[160.12227774 221.38050079 -31.06087089],[180.23678541 276.93077087 -35.75216979],[187.13967562 300.95508575 -29.04978544],[137.62205243 280.45827866  -8.19511548],[129.09702659 250.23578644 -39.00406927],[152.44396091 296.17521286 -31.28335208],[158.04813623 313.67303848 -16.09638691],[106.30214453 305.13589859 -16.70235023],[105.00151992 278.84199142 -31.58592135],[125.17363071 306.31662369 -20.4108046 ],[129.84448314 318.91559601  -7.01634899]
9,True,[ 1.75389884e+02  4.05808487e+02 -1.81766850e-04],[224.11585808 371.11328125 -21.32472172],[249.16178942 311.80971146 -31.50253415],[206.69066191 278.7364769  -41.81456298],[163.95409226 294.14167404 -48.04879725],[204.29772377 248.88679504  -0.94945547],[193.98516655 199.68673706 -28.39107245],[198.76276016 221.2512207  -41.55643523],[201.86244965 249.23143387 -44.89304423],[167.96555042 262.91955948  -2.13578135],[160.02508521 222.11948395 -31.85511321],[180.0931263  277.68358231 -36.62652969],[186.66722059 301.13498688 -30.01631945],[137.82330394 281.55488968  -8.70547481],[129.30406094 251.26907349 -39.67722863],[152.5082159  297.38010406 -32.037718  ],[157.86087513 314.1799736  -16.85208589],[106.78583264 306.03113174 -17.08937958],[105.51729798 279.45438385 -31.7600289 ],[125.38136244 306.91795349 -20.44870958],[129.55767989 319.27761078  -6.95997231]
